NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED"
Sick Person,15-1118,09-18-15/0137,09-18-15/0137,Slowe Hall
Unlawful Entry,15-1119,09-18-15/1636,09-18-15/1634,Howard Center
Sick Person,15-1120,09-19-15/0317,09-19-15/0316,Bethune Hall Annex
Suspicious Odor,15-1121,09-19-15/1800,09-19-15/1800,Howard Plaza Towers
Sick Person,15-1122,09-19-15/2355,09-19-15/2355,HU Hospital
Burglary I,15-1123,09-20-15/0029,09-20-15/2230,Quadrangle Hall
Injured Person,15-1124,09-20-15/0951,09-20-15/0655,Service Center
Sick Transport,15-1125,09-20-15/2145,09-20-15/2144,Howard Plaza Towers
Fire Alarm Activation,15-1126,09-20-15/2250,09-20-15/2250,College Hall North
Injured Person,15-1127,09-21-15/0042,09-21-15/0034,Bethune Hall Annex
Injured Person,15-1128,09-21-15/0330,09-20-15/0038,Annex 3
Sick Person,15-1129,09-21-15/0123,09-21-15/0123,College Hall South
Sick Person,15-1130,09-21-15/0647,09-21-15/0647,HU Hospital
Miscellaneous,15-1131,09-21-15/0903,09-21-15/0903,Service Center
Miscellaneous,15-1132,09-21-15/1320,09-21-15/1320,Lower campus
Lost Property,15-1133,09-21-15/1810,09-21-15/1752,Plaza Towers
Theft 2,15-1134,09-21-15/1820,09-21-15/1810,Founders Library
Fire Alarm Activation,15-1135,09-21-15/1805,09-21-15/1805,Burr Gymnasium
Fire Alarm Activation,15-1136,09-22-15/1750,09-22-15/1750,Bethune Hall Annex
Injured Person,15-1137,09-22-15/2146,09-22-15/2146,Greene Stadium
Unlawful Entry,15-1138,09-23-15/0042,09-23-15/2400,Howard Plaza Towers
Sick Person,15-1139,09-23-15/0152,09-23-15/0147,Quadrangle Hall
Miscellaneous,15-1140,09-23-15/1931,09-23-15/1931,Howard Plaza Towers
Destruction Of Property,15-1141,09-23-15/2107,09-23-15/2107,Howard Plaza Towers
Robbery Snatch,15-1142,09-23-15/2012,09-23-15/1930,Holy Cross Hall
Sexual Assault,15-1143,09-23-15/2102,09-23-15/2100,Bethune Hall Annex
Sick Person,15-1144,09-24-15/0220,09-24-15/0209,Quadrangle Hall
Found Property,15-1145,09-24-15/0847,09-24-15/0847,Howard Center
Lost Property,15-1146,09-24-15/1010,09-24-15/1010,College of Dentry
Hazardous Elevator,15-1147,09-24-15/1852,09-24-15/1852,Howard Plaza Towers
Miscellaneous,15-1148,09-24-15/1946,09-24-15/1926,College Hall South
Sick Person,15-1149,09-25-15/0408,09-25-15/0404,HU Hospital
Sick Person,15-1150,09-25-15/1613,09-25-15/1613,Mental Health Clinic
Sick Person,15-1151,09-26-15/0224,09-26-15/0224,Bethune Hall Annex
Burglary 2,15-1152,09-26-15/0219,09-26-15/0208,HU Hospital
Simple Assault,15-1153,09-27-15/0035,09-27-15/0032,Slowe Hall
Sick  Transport,15-1154,09-27-15/0657,09-27-15/0657,Howard Plaza Towers
Lost Property,15-1155,09-27-15/0745,09-27-15/0745,Service Center
Miscellaneous,15-1156,09-27-15/1625,09-27-15/1625,Bookstore
Lost Property,15-1157,09-27-15/1702,09-27-15/1700,College Hall South
Sick Person,15-1158,09-28-15/1202,09-28-15/1202,Bethune Hall Annex
Student Misconduct,15-1159,09-28-15/1800,09-28-15/1303,Bethune Hall Annex
Theft 2,15-1160,09-28-15/1335,09-28-15/1333,Founders Library
Destruction Of Property,15-1161,09-28-15/1805,09-28-15/1803,Public Space/ GA. AVE. NW
Sick Transport,15-1162,09-28-15/2050,09-28-15/2028,Quadrangle Hall
Miscellaneous,15-1163,09-29-15/0034,09-29-15/0031,Wonder Plaza
Fire Alarm Activation,15-1164,09-29-15/0102,09-29-15/0101,East Campus
Sick Person,15-1165,09-29-15/1600,09-29-15/1550,Fine Arts Building
Student Misconduct,15-1166,09-29-15/1731,09-29-15/1550,College Hall South
Fire Alarm Activation,15-1167,09-29-15/1849,09-29-15/1845,East Campus
Hazardous Water Leak,15-1168,09-29-15/2224,09-29-15/2224,Slowe Hall
Sick Transport,15-1169,09-29-15/2215,09-29-15/2208,Quadrangle Hall
Fire Alarm Activation,15-1170,09-29-15/2245,09-29-15/2245,Quadrangle Hall
Loud Noise,15-1171,09-30-15/0144,09-30-15/0144,Howard Plaza Towers
Sick Transport,15-1172,09-30-15/0211,09-30-15/0210,Quadrangle Hall
Fire Alarm Activation,15-1173,09-30-15/0340,09-30-15/0340,Slowe Hall
Sick Person,15-1174,09-30-15/1032,09-30-15/1032,Physic Building
Theft from Auto,15-1175,09-30-15/1355,09-30-15/1353,Banneker South Lot
Theft 2,15-1176,09-30-15/1553,09-30-15/1533,Bookstore
Vehicle Accident,15-1177,09-30-15/1658,09-30-15/1654,Lower campus
Sick Person,15-1178,09-30-15/1926,09-30-15/1626,Bethune Hall Annex
Hazardous Water Leak,15-1179,09-30-15/2131,09-30-15/2109,Blackburn Center
Lost Property,15-1180,10-01-15/1100,10-01-15/1100,Student Health Clinic
Damaged Property,15-1181,10-01-15/1229,10-01-15/1229,Howard Service Center
Miscellaneous,15-1182,10-01-15/1240,09-24-15/0845,Upper Campus
Lost Property,15-1183,10-01-15/1524,10-01-15/1330,Blackburn Center
Damaged Property,15-1184,10-01-15/1732,10-01-15/1732,Blackburn Center
Hazardous Elevator,15-1185,10-01-15/1933,10-01-15/1933,Plaza Towers
Injured Person,15-1186,10-01-15/1905,10-01-15/1849,Engineering Building
Theft 2,15-1187,10-01-15/2120,10-01-15/2109,Engineering Building
Injured Person,15-1188,10-01-15/0231,10-01-15/0231,Drew Hall
Damaged Property,15-1189,10-01-15/0641,10-01-15/0641,Upper Campus
Lost Property,15-1190,10-01-15/1100,10-01-15/1040,Unknown Location
Lost Property,15-1191,10-01-15/1109,10-01-15/1109,College Hall South
Theft from Auto,15-1192,10-02-15/1218,10-02-15/1137,Service Center
Theft from Auto,15-1193,10-02-15/1338,10-02-15/1338,520 W Street NW
Student Misconduct,15-1194,10-02-15/2141,10-02-15/2135,College Hall South
Fire Alarm Activation,15-1195,10-03-15/0238,10-03-15/0238,Plaza Towers
Vehicle Accident,15-1196,10-03-15/1037,10-03-15/1037,Lower campus
Domestic Violence,15-1197,10-03-15/1123,10-03-15/0330,Plaza Towers
Theft 2,15-1198,10-03-15/1236,10-03-15/1236,Main Gate
Theft 2,15-1199,10-03-15/1745,10-03-15/1737,Fine Art Building
Hazardous Elevator,15-1200,10-03-15/1821,10-03-15/1818,Plaza Towers
Injured Person,15-1201,10-03-15/1957,10-03-15/1957,Howard Center Lot
Theft 2,15-1202,10-03-15/2055,10-03-15/2024,Stokes Library
Domestic Violence,15-1203,10-03-15/1841,10-03-15/1830,Quadrangle Hall
Assault on a Police Officer,15-1204,10-03-15/1940,10-03-15/1930,"Howard Center Lot/2225 Ga Ave, NW"
Recovered Property/Theft 2,15-1205,10-04-15/007,10-04-15/0001,Bethune Hall Annex
Sick Person,15-1206,10-04-15/0146,10-04-15/0116,Howard Hospital
Sick Person,15-1207,10-04-15/0220,10-04-15/0219,Quadrangle Hall
Sick Person,15-1208,10-04-15/0335,10-04-15/0331,Slowe Hall
Sick Person,15-1209,10-04-15/0249,10-04-15/0249,Quadrangle Hall
Miscellaneous,15-1210,10-04-15/1840,10-04-15/1840,College Hall North
Student Misconduct,15-1211,10-04-15/2155,10-04-15/2015,Plaza Towers
Lost Property,15-1212,10-05-15/0928,10-02-15/1500,Fine Arts Building
Miscellaneous,15-1213,10-05-15/1117,10-05-15/1117,Service Center
Suspicious Odor,15-1214,10-05-15/1230,10-05-15/1225,Bethune Hall Annex
Lost Property,15-1215,10-05-15/1249,10-05-15/1245,SOCC
Injured Person,15-1216,10-05-15/1415,10-05-15/1414,School of Business
Student Misconduct,15-1217,10-05-15/1403,10-05-15/1401,Bethune Hall Annex
Lost Property,15-1218,10-05-15/1650,10-05-15/1649,College Hall North
Simple Assault,15-1219,10-05-15/1750,10-05-15/1731,Off Campus
Lost Property,15-1220,10-05-15/1903,10-05-15/1830,Off Campus
Attempt Suicide,15-1221,10-06-15/0004,10-06-15/0004,Founders Library
Sexual Assault,15-1222,10-06-15/0442,10-06-15/0442,Quadrangle Hall
Theft 2,15-1223,10-06-15/1244,10-06-15/1241,Annex 1
Sick Person,15-1224,10-06-15/1400,10-06-15/1400,College Hall South
Injured Person,15-1225,10-06-15/1623,10-06-15/1623,Howard Center Lot
Sick Person,15-1226,10-06-15/1548,10-06-15/1548,Bethune Hall Annex
Injured Person,15-1227,10-06-15/2135,10-06-15/1805,4th Street Gate
Injured Person,15-1228,10-06-15/2135,10-06-15/1805,4th Street Gate
Sick Transport,15-1229,10-06-15/2123,10-06-15/2025,College Hall North
Sick Person,15-1230,10-07-15/0032,10-07-15/0030,HU Hospital
Sexual Assault,15-1231,10-07-15/0227,10-07-15/0227,Quadrangle Hall
Sick Transport,15-1232,10-07-15/0657,10-07-15/0652,HU Plaza Towers
Assault,15-1233,10-07-15/1130,10-07-15/1130,Off Campus
Damaged Property,15-1234,10-07-15/1125,10-07-15/1117,Blackburn Center
Lost Property,15-1235,10-07-15/1124,10-07-15/1123,Service Center
Lost Property,15-1236,10-07-15/1530,10-03-15/,Howard Center Lot
Hazardous Water Leak,15-1237,10-07-15/1911,10-07-15/1825,College of Denistry
Hazardous Water Leak,15-1238,10-07-15/2050,10-07-15/2046,Residence Life Office
Fire Alarm Activation,15-1239,10-07-15/2355,10-07-15/2350,College Hall South
Miscellaneous,15-1240,10-08-15/0053,10-07-15/0053,Quadrangle Hall
Damaged Property,15-1241,10-08-15/1117,10-09-15/1016,Drew Hall
Theft 2,15-1242,10-08-15/1038,10-08-15/1038,Quadrangle Hall
Theft from Auto,15-1243,10-08-15/1420,10-08-15/1130,Off Campus
Theft 1,15-1244,10-08-15/1554,10-08-15/1554,Bookstore
Found Property,15-1245,10-08-15/1533,10-08-15/1533,Banneker North Parking Lot
Miscellaneous,15-1246,10-09-15/0232,10-09-15/0210,Banneker North Parking Lot
Theft 2,15-1247,10-09-15/1014,10-09-15/1012,College Hall South
Lost Property,15-1248,10-09-15/1423,10-09-15/1311,Slowe Hall
Theft 2,15-1249,10-09-15/1347,10-09-15/1344,College Hall North
Damaged Property,15-1250,10-10-15/0431,10-10-15/0429,Howard Manor
Sick Person,15-1251,10-10-15/0535,10-10-15/0535,HU Hospital
Sick Person,15-1252,10-10-15/0610,10-10-15/0610,HU Hospital
Suspicious Odor,15-1253,10-10-15/2055,10-10-15/2053,Howard Plaza Towers
Simple Assault,15-1254,10-10-15/2038,10-10-15/2021,Lower campus
Miscellaneous,15-1255,10-10-15/2343,10-10-15/2255,HU Hospital
Miscellaneous,15-1256,10-10-15/2400,10-10-15/2355,Howard Plaza Towers
Miscellaneous,15-1257,10-10-15/0113,10-10-15/0100,Wonder Plaza
Sick Person,15-1258,10-11-15/2247,10-10-15/2240,Quadrangle Hall
Sick Person,15-1259,10-12-15/0958,10-12-15/0958,Quadrangle Hall
Fire Alarm Activation,15-1260,10-12-15/1127,10-12-15/1126,Howard Plaza Towers
Lost Property,15-1261,10-12-15/1248,10-12-15/1247,Bethune Hall Annex
Student Misconduct,15-1262,10-12-15/1605,10-12-15/1600,Cook Hall
Theft from Auto,15-1263,10-12-15/1805,10-12-15/1754,Public Space/ GA. AVE. NW
Hazardous Water Leak,15-1264,10-13-15/2047,10-12-15/2043,Chemistry Building
Sick Person,15-1265,10-13-15/2356,10-14-15/0103,HU Hospital
Suspicious Odor,15-1266,10-14-15/0039,10-14-15/0007,Howard Plaza Towers
Sick Person,15-1267,10-14-15/2359,10-13-15/2347,Quadrangle Hall
Hazardous Water Leak,15-1268,10-14-15/0200,10-14-15/0200,Engineering Building
Sick Person,15-1269,10-14-15/0405,10-14-15/0401,Howard Service Center
Sick Person,15-1270,10-14-15/0428,10-14-15/0405,Howard Hospital
Destruction Of Property,15-1271,10-14-15/0439,10-14-15/0439,Chemistry Building
Sick Person,15-1272,10-14-15/1016,10-14-15/1016,Howard Plaza Towers
Theft 2,15-1273,10-14-15/1327,10-14-15/1327,Biology building/Just Lot
Theft 2,15-1274,10-14-15/1719,10-14-15/1719,Bookstore
Theft 1,15-1275,10-14-15/2012,10-14-15/2012,Burr Gymnasium
Suspicious Odor/Student Misconduct,15-1276,10-14-15/2245,10-14-15/2245,Plaza Towers
Theft from Auto,15-1277,10-15-15/1259,10-15-15/1259,Annex 2
Lost Property,15-1278,10-15-15/1002,10-15-15/1002,Drew Hall
Property check,15-1279,10-15-15/1803,10-15-15/1803,East Campus Lot
Sick Person,15-1280,10-15-15/1745,10-15-15/1742,Douglass Hall
Student Misconduct,15-1281,10-15-15/2041,10-15-15/2028,Bethune Hall Annex
Theft from Auto,15-1282,10-15-15/2347,10-15-15/2347,600 block Gresham Place NW
Lost Property,15-1283,10-16-15/0200,10-16-15/2327,Plaza Towers
Student Misconduct,15-1284,10-16-15/1623,10-16-15/1617,Bethune Hall Annex
Damaged Property,15-1285,10-16-15/2235,10-16-15/2224,Childers Lot
Sexual Assault,15-1286,10-17-15/0254,10-17-15/0254,College Hall South
No Report,15-1287,10-17-15/,10-17-15/,
Simple Assault,15-1288,10-17-15/0429,10-17-15/0429,Off Campus
Sick Person,15-1289,10-17-15/0522,10-17-15/0522,Bethune Hall Annex
Unlawful Entry,15-1290,10-17-15/1726,10-17-15/1717,Bethune Hall Annex
Sick Person,15-1291,10-18-15/0100,10-18-15/0048,Howard Hospital
Sick Person,15-1292,10-18-15/0135,10-18-15/0135,Bethune Hall Annex
Fire Alarm Activation,15-1293,10-18-15/2149,10-18-15/2149,Cook Hall
Sick Person,15-1294,10-18-15/2310,10-18-15/2303,Howard Plaza Towers
Lost Property,15-1295,10-18-15/1239,10-18-15/2347,Douglass Hall
Simple Assault,15-1296,10-18-15/2132,10-18-15/2030,College Hall North
Burglary 2,15-1297,10-19-15/0811,10-19-15/0600,Service Center
Destruction Of Property,15-1298,10-19-15/1212,10-19-15/1143,Plaza Towers
Found Property,15-1299,10-19-15/1920,10-19-15/1803,Bethune Hall Annex
Simple Assault,15-1300,10-19-15/1559,10-19-15/1559,College Hall North
Sick Person,15-1301,10-19-15/2230,10-19-15/2230,Quadrangle Hall
Sick Person,15-1302,10-19-15/2314,10-19-15/2314,Quadrangle Hall
Suspicious Odor/Student Misconduct,15-1303,10-20-15/0013,10-20-15/0013,Plaza Towers
Sick Person,15-1304,10-20-15/0345,10-20-15/0341,HU Hospital
Theft from Auto,15-1305,10-20-15/0808,10-20-15/0807,Greene Stadium
Sick Person,15-1306,10-20-15/1338,10-20-15/1330,Student Health Clinic
Sick Person,15-1307,10-20-15/1626,10-20-15/1625,Cramton Auditorium
Sick Transport,15-1308,10-20-15/1838,10-20-15/1838,Mental Health Clinic
Theft from Auto,15-1309,10-20-15/2028,10-20-15/2020,Burr Gymnasium
Destruction Of Property,15-1310,10-20-15/2130,10-20-15/2130,Howard Center
Sick Person,15-1311,10-21-15/0121,10-21-15/0121,College Hall North
Sick Person,15-1312,10-21-15/1150,10-21-15/1149,Blackburn Center
Lost Property,15-1313,10-21-15/1536,10-21-15/1504,Founders Library
Fire,15-1314,10-21-15/1501,10-21-15/1501,Cook Hall
Carry a Dangerous Weapon,15-1315,10-21-15/1540,10-21-15/1540,Student Health Clinic
Damaged Property,15-1316,10-21-15/1936,10-21-15/1935,C.B. Powell Building
Hazardous Water Leak,15-1317,10-21-15/1915,10-21-15/1908,Adams Building
Fire Alarm Activation,15-1318,10-21-15/2155,10-21-15/2150,College Hall North
Hazardous Odor,15-1319,10-22-15/1155,10-22-15/1150,College of Dentisty
Destruction Of Property,15-1320,10-22-15/2154,10-22-15/2154,Greene Stadium
Found Property,15-1321,10-22-15/2250,10-22-15/2245,College of Dentisty
Injured Person,15-1322,10-22-15/2340,10-22-15/2339,Cramton Auditorium
Sick Transport,15-1323,10-23-15/0051,10-23-15/0048,Bethune Hall Annex
Injured Person,15-1324,10-23-15/1356,10-23-15/1325,Burr Gymnasium
Theft 2,15-1325,10-23-15/1434,10-23-15/1433,Annex 1
Student Misconduct,15-1326,10-23-15/1836,10-23-15/1836,College Hall North
Sick Person,15-1327,10-24-15/0109,10-24-15/0105,Quadrangle Hall
Found Property,15-1328,10-23-15/2015,10-24-15/1827,Houston Hall
Sick Person,15-1329,10-25-15/1308,10-25-15/0045,HU Hospital
Student Misconduct,15-1330,10-25-15/1441,10-25-15/1434,College Hall South
Student Misconduct,15-1331,10-25-15/2043,10-25-15/2043,Bethune Hall Annex
Burglary 1,15-1332,10-26-15/0100,10-26-15/0044,Quadrangle Hall
Student Misconduct,15-1333,10-26-15/1213,10-26-15/1211,Slowe Hall
Miscellaneous,15-1334,10-26-15/1331,10-26-15/1330,A-1 rear Parking Lot
Injured Person,15-1335,10-26-15/1920,10-26-15/1915,Slowe Hall
Fire Alarm Activation,15-1336,10-26-15/2054,10-26-15/2054,College Hall South
Sick Person,15-1337,10-26-15/2131,10-26-15/0945,Howard Plaza Towers
Sick Person,15-1338,10-27-15/0240,10-27-15/0232,HU Hospital
Sick Transport,15-1339,10-27-15/1029,10-27-15/1015,Blackburn Center
Lost Property,15-1340,10-26-15/2248,10-26-15/0051,College Hall South
Damaged Property,15-1341,10-27-15/1712,10-27-15/1701,Plaza Towers
Hit and Run,15-1342,10-27-15/1730,10-27-15/1729,Service Center
Simple Assault,15-1343,10-27-15/1640,10-27-15/1634,Administration Building
Found Property,15-1344,10-27-15/2141,10-27-15/2141,Wonder Plaza
Vehicle Accident,15-1345,10-28-15/1143,10-28-15/1100,Off Campus
Damaged Property,15-1346,10-28-15/1206,10-28-15/1140,Childers Lot
No Report,15-1347,10-28-15/,10-28-15/,
Vehicle Accident,15-1348,10-28-15/1322,10-28-15/1322,Quadrangle Hall
Simple Assault,15-1349,10-28-15/1751,10-28-15/1751,Plaza Towers
Fire Alarm Activation,15-1350,10-28-15/1759,10-28-15/1459,East Campus
Miscellaneous,15-1351,10-28-15/2100,10-28-15/1921,West Campus
Fire Alarm Activation,15-1352,10-28-15/2146,10-28-15/2145,Wonder Plaza
Simple Assault,15-1353,10-28-15/2220,10-28-15/2159,College Hall South
Sick Person,15-1354,10-29-15/0111,10-29-15/0111,HU Hospital
Unlawful Entry,15-1355,10-31-15/2359,10-31-15/0218,HURB 1
Sick Person,15-1356,10-31-15/0147,10-31-15/0142,Drew Hall
Sick Person,15-1357,10-31-15/0211,10-31-15/0211,HU Hospital
Sick Person,15-1358,10-31-15/0235,10-31-15/0234,College Hall South
Sick Person,15-1359,10-31-15/1115,10-31-15/1114,College Hall South
Student Misconduct,15-1360,10-31-15/1350,10-31-15/1349,Bethune Hall Annex
Student Misconduct,15-1361,10-31-15/1555,10-31-15/1551,Plaza Towers
Sick Person,15-1362,10-31-15/1642,10-31-15/1642,Quadrangle Hall
Damaged Property,15-1363,10-31-15/1847,10-31-15/1845,Slowe Hall
Hazardous Elevator,15-1364,10-31-15/1738,10-31-15/1733,C. B. Powell Building
Miscellaneous,15-1365,10-31-15/1954,10-31-15/1954,Plaza Towers
Sick Person,15-1366,10-31-15/2046,10-31-15/2031,Quadrangle Hall
Injured Person,15-1367,11-01-15/0208,11-01-15/0157,HU Hospital
Simple Assault,15-1368,11-01-15/1310,11-01-15/1250,Cramton Auditorium
Missing Person,15-1369,11-01-15/1720,11-01-15/1710,Off Campus
No Report,15-1370,11-01-15/,11-01-15/,
Sick Person,15-1371,11-02-15/0910,11-02-15/0910,Academic Support A
Vandalism,15-1372,11-02-15/1005,11-02-15/1004,Founders Library
Student Misconduct,15-1373,11-02-15/1251,10-29-15/0311,Plaza Towers
Lost Property,15-1374,11-02-15/1310,10-29-15/1700,Drew Hall
Hazardous Elevator,15-1375,11-02-15/1450,11-02-15/1314,Fine Art Building
Fire Alarm Activation,15-1376,11-02-15/1031,11-02-15/1031,Wonder Plaza
Sick Transport,15-1377,11-02-15/1100,11-02-15/1100,Bethune Hall Annex
No Report,15-1378,10-29-15/,10-29-15/,
No Report,15-1379,10-29-15/,10-29-15/,
No Report,15-1380,10-29-15/,10-29-15/,
Fire Alarm Activation,15-1381,10-29-15/2132,10-29-15/2128,Slowe Hall
No Report,15-1382,10-29-15/,10-29-15/,
Hazardous Elevator,15-1383,10-29-15/2209,10-29-15/2200,Howard Plaza Towers
No Report,15-1384,10-29-15/,10-29-15/,
Sick Person,15-1385,10-30-15/1526,10-30-15/0022,Howard University Hospital
Sick Person,15-1386,10-30-15/0059,10-30-15/0059,Howard Plaza Towers
Sexual Assault,15-1387,10-30-15/0145,10-30-15/0140,Off Campus
ADW/Knife,15-1388,10-30-15/0227,10-30-15/0227,College Hall South
Assault on a Police Officer,15-1389,10-30-15/0319,10-30-15/0319,4th & McMiian Dr. NW
Theft 2,15-1390,10-30-15/1020,10-30-15/1020,Drew Hall
Student Misconduct,15-1391,10-30-15/1427,10-30-15/1412,Slowe Hall
Damaged Property,15-1392,10-30-15/1814,10-30-15/1803,Childers Lot
Sick Transport,15-1393,11-02-15/1605,11-02-15/1607,C.B Powell Buiilding
Sick Person,15-1394,11-02-15/1945,11-02-15/1944,Locke Hall
Fire Alarm Activation,15-1395,11-02-15/2020,11-02-15/2010,Wonder Plaza
Vehicle Accident,15-1396,11-03-15/0804,11-03-15/0802,4th Street NW
Armed Robbery,15-1397,11-02-15/2230,11-02-15/2230,Drew Hall
Fire Alarm Activation,15-1398,11-03-15/1128,11-03-15/1128,Cook Hall
No Report,15-1399,11-03-15/,11-03-15/,
Sick Person,15-1400,11-03-15/1448,11-03-15/1441,Administration Building
Theft 2,15-1401,11-03-15/1808,11-03-15/1802,College Hall South
Hazardous Water Leak,15-1402,11-04-15/0502,11-04-15/0502,C.B. Powell Building
Theft 2,15-1403,11-04-15/1555,11-04-15/1555,Howard Service Center
Hazardous Elevator,15-1404,11-04-15/2147,11-04-15/2130,Plaza Towers
Student Misconduct,15-1405,11-04-15/2010,11-04-15/2002,Plaza Towers
Injured Person,15-1406,11-05-15/0024,11-05-15/0024,Drew Hall
Miscellaneous,15-1407,11-05-15/1300,11-05-15/0732,5th & W Street/Lot
Theft from Auto,15-1408,11-05-15/1120,11-05-15/1116,Upper Campus
Lost Property,15-1409,11-05-15/2148,11-05-15/2139,Douglass Hall
Fire Alarm Activation,15-1410,11-05-15/2326,11-05-15/2325,Slowe Hall
Sick Person,15-1411,11-06-15/1027,11-06-15/1027,West Campus
Sick Person,15-1412,11-06-15/1151,11-06-15/1150,Bethune Annex
Destruction Of Property,15-1413,11-06-15/1544,11-06-15/1544,4th College St. NW
Stolen Auto,15-1414,11-06-15/1958,11-06-15/1930,A1 Rear Parking Lot
Sick Person,15-1415,11-06-15/2047,11-06-15/2047,College Hall North
Vehicle Accident,15-1416,11-07-15/0245,11-07-15/0245,4th & Harvard St. NW
Lost Property,15-1417,11-07-15/1614,11-07-15/1507,Bethune Annex
Miscellaneous,15-1418,11-07-15/2145,11-07-15/2142,Plaza Towers
Sick Person,15-1419,11-08-15/0042,11-08-15/0042,HU Hospital
Destruction Of Property,15-1420,11-08-15/0313,11-08-15/0313,C. B. Powell Building
Fire Alarm Activation,15-1421,11-08-15/0423,11-08-15/0412,Quadrangle Hall
Theft 2,15-1422,11-08-15/2202,11-08-15/2149,Drew Hall
Student Misconduct,15-1423,11-08-15/2244,11-08-15/2218,Plaza Towers
Sick Person,15-1424,11-09-15/0042,11-09-15/0039,HU Hospital
Student Misconduct,15-1425,11-09-15/1430,11-09-15/1306,Bethune Annex
Lost Property,15-1426,11-09-15/1555,11-09-15/1422,Engineering Building
Sick Transport,15-1427,11-09-15/1636,11-09-15/1630,C. B. Powell Building
Miscellaneous,15-1428,11-09-15/1352,11-09-15/1352,Off Campus
Vehicle Accident,15-1429,11-09-15/1817,11-09-15/1730,HU Hospital
Injured Person,15-1430,11-09-15/2033,11-09-15/1930,Howard Service Center
Suspicious Odor,15-1431,11-10-15/0048,11-10-15/0045,Bethune Annex
Sick Person,15-1432,11-10-15/0356,11-10-15/0356,Plaza Towers
Fire Alarm Activation,15-1433,11-10-15/0854,11-10-15/0853,Enterprise Tech Service
Sick Person,15-1434,11-10-15/0858,11-10-15/0858,Bethune Annex
Theft 2,15-1435,11-10-15/1334,11-10-15/1334,Annex 1
Theft from Auto,15-1436,11-10-15/1735,11-10-15/1730,Howard Center Lot
Student Misconduct,15-1437,11-10-15/1826,11-10-15/1826,Bethune Annex
Destruction Of Property,15-1438,11-10-15/2230,11-10-15/2221,Off Campus
Sick Person,15-1439,11-11-15/0151,11-11-15/0151,Off Campus
Stalking,15-1440,11-11-15/0357,11-11-15/0501,Quadrangle Hall
Fire Alarm Activation,15-1441,11-11-15/1820,11-11-15/1820,Cook Hall
Sick Person,15-1442,11-11-15/2343,11-11-15/2343,HU Hospital
Simple Assault,15-1443,11-11-15/2128,11-11-15/2127,10th St. NW
Sick Person,15-1444,11-12-15/0713,11-12-15/0713,Plaza Towers
Harassment,15-1445,11-12-15/1032,11-12-15/1032,Social Work
Vehicle Accident,15-1446,11-12-15/1455,11-12-15/1455,Achhitecture & Planning
Lost Property,15-1447,11-12-15/1557,11-12-15/1557,College Hall North
Sick Person,15-1448,11-12-15/1609,11-12-15/1609,Bethune Annex
Damaged Property,15-1449,11-12-15/1635,11-12-15/1553,School of Business
Sick Person,15-1450,11-13-15/0812,11-13-15/0755,Greene Stadium
Lost Property,15-1451,11-13-15/1311,11-13-15/1128,C. B. Powell Building
Theft from Auto,15-1452,11-13-15/1138,11-13-15/1138,C.B. Powell Building
Fire Alarm Activation,15-1453,11-13-15/1210,11-13-15/1159,College Hall South
Student Misconduct,15-1454,11-13-15/1936,11-13-15/1915,Founders Library
Loud Noise,15-1455,11-14-15/0055,11-14-15/0024,Off Campus
Hazardous Elevator,15-1456,11-14-15/2040,11-14/15/2040,Plaza Towers
Student Misconduct,15-1457,11-14-15/1955,11-14-15/1947,Quadrangle Hall
Injured Person,15-1458,11-14-15/2144,11-14-15/1438,Cook Hall
Student Misconduct,15-1459,11-14-15/2304,11-14-15/2304,Bethune Annex
Fire Alarm Activation,15-1460,11-15-15/0205,11-15-15/0205,Quadrangle Hall
Sick Transport,15-1461,11-15-15/0324,11-15-15/0323,Quadrangle Hall
Sick Person,15-1462,11-15-15/1740,11-15-15/1736,Plaza Towers
Missing Person,15-1463,11-15-15/1706,11-15-15/1705,School of Business
Sick Person,15-1464,11-16-15/0347,11-16-15/0336,HU Hospital
Student Misconduct,15-1465,11-16-15/1236,11-16-15/1230,Blackburn Center
Sick Person,15-1466,11-16-15/1600,11-16-15/1557,Douglass Hall
Theft from Auto,15-1467,11-16-15/1818,11-16-15/1741,College Hall South
Unlawful Entry,15-1468,11-16-15/1804,11-16-15/1804,Douglass Hall
Sick Person,15-1469,11-16-15/1959,11-16-15/1950,Social Work
Theft 2,15-1470,11-16-15/2120,11-16-15/2111,Bethune Annex
Hazardous Elevator,15-1471,11-16-15/2200,11-16-15/2200,Plaza Towers
Sick Person,15-1472,11-17-15/0228,11-17-15/0224,HU Hospital
Miscellaneous,15-1473,11-17-15/0933,11-17-15/0931,Wonder Plaza
Sick Person,15-1474,11-17-15/1337,11-17-15/1300,Drew Hall
Simple Assault,15-1475,11-17-15/1645,11-17-15/1640,Burr Gymnasium
Injured Person,15-1476,11-17-15/2000,11-17-15/1942,Burr Gymnasium
Fire Alarm Activation,15-1477,11-17-15/2356,11-17-15/2356,Fine Art Building
Fire Alarm Activation,15-1478,11-18-15/0050,11-18-15/0050,Burr Gymnasium
Unlawful Entry,15-1479,11-18-15/0142,11-18-15/0106,Burr Gymnasium
Theft from Auto,15-1480,11-18-15/1047,11-18-15/1027,Slowe Hall
Theft from Auto,15-1481,11-18-15/1422,11-18-15/1240,Upper Campus
