NATURES OF CRIMES,"CASENUMBERS","DATE/TIMEREPORTED",DATE/TIME OCCURRED,GENERAL LOCATION
Eloped Patient,17-0886,7/2/2017 4:23am,7/2/2017 4:23am,Howard University Hospital,Inactive
Unlawful Entry,17-0887,7/2/2017 8:10am,7/2/2017 8:10am,C.B. Powell Building,Active
Injured Person,17-0888,7/2/2017 9:52am,7/2/2017 9:52am,Howard University Hospital,Active
Sick Person,17-0889,7/3/2017 2:54pm,7/3/2017 2:20pm,Howard University Hospital,Inactive
Lost Property,17-0890,7/3/2017 3:50pm,7/3/2017 7:37am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0891,7/4/2017 12:42pm,7/4/2017 12:42pm,College Hall South,Inactive
Disorderly Conduct,17-0892,7/4/2017 2:00pm,7/4/2017 1:55pm,Howard University Hospital,Active
Miscellaneous,17-0893,7/4/2017 11:35pm,7/4/2017 11:35pm,Physic Building,Inactive
Miscellaneous,17-0894,7/5/2017 10:58pm,7/5/2017 9:30pm,Howard University Hospital,Active
Injured Person,17-0895,7/6/2017 12:16pm,7/6/2017 12:16pm,Upper Campus,Active
Barring Notice,17-0896,7/6/2017 1:37pm,7/6/2017 11:50am,Howard University Hospital,Active
Vehicle Accident,17-0897,7/6/2017 2:04pm,7/6/2017 2:04pm,Upper Campus,Active
Vehicle Accident,17-0898,7/6/2017 8:44pm,7/6/2017 8:44pm,Truth Hall,Inactive
Unlawful Entry,17-0899,7/7/2017 5:19am,7/7/2017 4:30am,Howard University Hospital,Active
Harassment,17-0900,7/7/2017 11:10am,7/7/2017 11:10am,Howard Center,Active
Fire Alarm Activation,17-0901,7/7/2017 1:52pm,7/7/2017 1:52pm,Burr Gymnasium,Inactive
Disorderly Conduct,17-0902,7/7/2017 11:40pm,7/7/2017 9:40pm,Howard University Hospital,Active
NO Report,17-0903,,,,
Destruction of Property,17-0904,7/8/2017 8:20am,7/8/2017 8:00am,Burr Gymnasium,Active
Fire Alarm Activation,17-0905,7/8/2017 11:42am,7/8/2017 11:42am,WHUT,Inactive
Found Property,17-0906,7/8/2017 1:13pm,7/8/2017 1:13pm,Howard University Hospital,Inactive
Damaged Property,17-0907,7/8/2017 2:49pm,7/8/2017 2:49pm,Howard University Hospital,Inactive
Hazardous Water Leak,17-0908,7/8/2017 6:16pm,7/8/2017 6:16pm,Engineering Building,Inactive
Fire Alarm Activation,17-0909,7/8/2017 8:34pm,7/8/2017 8:34pm,College Hall South,Inactive
Hazardous Water Leak,17-0910,7/10/2017 12:15am,7/10/2017 12:15am,Administration Building,Inactive
Fire Alarm Activation,17-0911,7/10/2017 5:54am,7/10/2017 5:54am,Miner Building Inactive
Destruction of Property,17-0912,7/10/2017 11:12am,7/10/2017 10:00am,Lower Campus Active
Lost Property,17-0913,7/10/2017 2:17pm,7/7/2017 10:00pm,College Hall South Inactive
Simple Assault,17-0914,7/10/2017 5:05pm,7/10/2017 5:05pm,Howard University Hospital Active
Lost Property,17-0915,7/10/2017 6:28pm,7/10/2017 12:15pm,Howard University Hospital Inactive
Damaged Property,17-0916,7/10/2017 8:16pm,7/10/2017 5:50pm,A-1 Garage Inactive
Miscellaneous,17-0917,7/10/2017 9:26pm,7/10/2017 8:00am,Stokes Courtyard Inactive
Fire Alarm Activation,17-0918,7/11/2017 12:28am,7/11/2017 12:28am,Miner Building Inactive
Theft 2,17-0919,7/11/2017 6:59pm,7/11/2017 6:45pm,Howard Plaza Towers Active
Damaged Property,17-0920,7/11/2017 7:49pm,7/11/2017 7:49pm,Main Gate Inactive
Disorderly Conduct,17-0921,7/12/2017 3:46am,7/11/2017 3:31am,Howard University Hospital Active
Theft 2,17-0922,7/12/2017 10:04am,7/11/2017 8:40pm,Drew Hall Active
Hazardous Elevator,17-0923,7/12/2017 12:06pm,7/12/2017 12:06pm,Administration Building Inactive
Theft 2,17-0924,7/13/2017 3:55pm,7/13/2017 3:50pm,600 block of W Street NW Active
Damaged Property,17-0925,7/13/2017 5:56pm,7/13/2017 5:56pm,A-1 Rear Parking Lot Inactive
Damaged Property,17-0926,7/13/2017 7:40pm,7/13/2017 6:50pm,Mackey Lot Inactive
Simple Assault,17-0927,7/13/2017 8:47pm,7/13/2017 8:15pm,Howard University Hospital Active
Lost Property,17-0928,7/14/2017 10:11am,7/14/2017 1:00am,Off Campus Inactive
Miscellaneous,17-0929,7/14/2017 9:11pm,7/14/2017 3:26pm,Howard University Hospital Inactive
Sick Person,17-0930,7/15/2017 11:29am,7/15/2017 11:29am,Howard University Hospital Inactive
Sick Person,17-0931,7/15/2017 12:33pm,7/15/2017 12:00pm,Howard University Hospital Inactive
Damaged Property,17-0932,7/16/2017 12:15pm,7/16/2017 11:20am,A-1 Rear Parking Lot Inactive
Miscellaneous,17-0933,7/16/2017 12:58pm,7/16/2017 11:57am,Howard University Hospital Inactive
Hazardous Water Leak,17-0934,7/17/2017 12:16am,7/17/2017 12:16am,Engineering Building Inactive
Fire Alarm Activation,17-0935,7/17/2017 4:57am,7/17/2017 4:57am,WHUT Inactive
Found Property,17-0936,7/17/2017 9:12am,7/17/2017 8:49am,College Hall South Inactive
Found Property,17-0937,7/17/2017 1:33pm,7/17/2017 1:13pm,Miner Building Inactive
Harassment,17-0938,7/17/2017 7:28pm,7/17/2017 6:00pm,Off Campus Active
Fire Alarm Activation,17-0939,7/19/2017 3:37am,7/19/2017 3:37am,I-Lab Inactive
Damaged Property,17-0940,7/19/2017 5:09am,7/19/2017 5:09am,Subway Restaurant Inactive
Barring Notice,17-0941,7/20/2017 1:16pm,7/20/2017 1:16pm,Howard University Service Cen Active
Lost Property,17-0942,7/20/2017 1:25pm,2/15/2017 6:00pm,Administration Building Inactive
Hazardous Elevator,17-0943,7/20/2017 1:30pm,7/20/2017 1:30pm,Bethune Annex Inactive
Sick Person,17-0944,7/20/2017 8:59pm,7/20/2017 8:55pm,Blackburn Center Inactive
Injured Person,17-0945,7/21/2017 7:37am,7/21/2017 7:15am,Howard University Service Cen Inactive
Unlawful Entry,17-0946,7/21/2017 10:04am,7/21/2017 10:04am,Howard University Hospital Active
Miscellaneous,17-0947,7/21/2017 2:42pm,7/21/2017 2:42pm,Howard Hall Active
Miscellaneous,17-0948,7/22/2017 3:43am,7/22/2017 3:20am,Howard University Hospital Inactive
Simple Assault,17-0949,7/22/2017 10:38am,7/22/2017 10:10am,Howard University Hospital Active
Barring Notice,17-0950,7/22/2017 11:40am,7/22/2017 10:30am,Howard University Hospital Active
Simple Assault,17-0951,7/22/2017 3:57pm,7/22/2017 3:57pm,HURB I Active
Fire Alarm Activation,17-0952,7/23/2017 9:43pm,7/23/2017 9:43pm,Wonder Plaza Inactive
Hazardous Water Leak,17-0953,7/24/2017 12:21am,7/24/2017 12:21am,Mudd Building Inactive
Hazardous Water Leak,17-0954,7/24/2017 1:42am,7/24/2017 1:42am,West Campus Inactive
Miscellaneous,17-0955,7/24/2017 8:34am,7/24/2017 8:15am,Howard University Hospital Inactive
Suspicious Package,17-0956,7/24/2017 9:16am,7/24/2017 9:16am,Howard Plaza Towers East Active
Fire Alarm Activation,17-0957,7/25/2017 5:48am,7/25/2017 5:48am,Middle School Inactive
Lost Property,17-0958,7/25/2017 2:21pm,7/25/2017 2:21pm,Quadrangle Inactive
Hazardous Water Leak,17-0959,7/25/2017 7:46pm,7/25/2017 7:46pm,Wonder Plaza Inactive
Damaged Property,17-0960,7/26/2017 8:40am,7/26/2017 8:35am,WHUR Inactive
Miscellaneous,17-0961,7/26/2017 2:21pm,7/17/2017 12:00pm,Bookstore Inactive
Lost Property,17-0962,7/26/2017 3:58pm,7/26/2017 2:00pm,Howard University Hospital Inactive
Miscellaneous,17-0963,7/26/2017 7:10pm,7/26/2017 4:10pm,Howard University Hospital Inactive
Verbal Dispute,17-0964,7/26/2017 11:46pm,7/26/2017 11:10pm,Howard University Hospital Active
Damaged Property,17-0965,7/27/2017 8:42am,7/26/2017 3:45pm,Howard University Service Cen Inactive
Lost Property,17-0966,7/27/2017 8:59pm,7/27/2017 5:00pm,Howard University Hospital Inactive
Sick Person,17-0967,7/28/2017 10:33am,7/28/2017 10:28am,Howard University Hospital Inactive
Sexual Assault,17-0968,7/28/2017 5:35pm,2/15/2017 11:00pm,Howard Plaza Towers West Active
Hazardous Water Leak,17-0969,7/29/2017 12:17pm,7/29/2017 12:17pm,Howard University Hospital Inactive
Hazardous Water Leak,17-0970,7/29/2017 2:26pm,7/29/2017 2:00pm,Howard University Hospital Inactive
Found Property,17-0971,7/29/2017 4:31pm,7/29/2017 4:31pm,Wonder Plaza Inactive
Hazardous Water Leak,17-0972,7/29/2017 3:44pm,7/29/2017 3:44pm,Mudd Building Inactive
Fire Alarm Activation,17-0973,7/29/2017 5:14pm,7/29/2017 5:14pm,Stokes Library Inactive
Burglary 2,17-0974,7/30/2017 4:04pm,7/30/2017 3:45pm,Bethune Annex Active
Simple Assault,17-0975,7/30/2017 11:40pm,7/30/2017 11:10pm,Howard University Hospital Active
Hazardous Elevator,17-0976,7/31/2017 3:30am,7/31/2017 3:20am,Howard University Hospital Inactive
Theft 2,17-0977,7/31/2017 2:17pm,7/31/2017 2:03pm,Howard University Hospital Active
Miscellaneous,17-0978,7/31/2017 3:06pm,7/31/2017 1:30pm,Mudd Building Inactive
Burglary 2,17-0979,7/31/2017 6:31pm,7/31/2017 6:25pm,Sculpture Studio,Active
Indecent Exposure,17-0980,7/31/2017 9:34pm,7/31/2017 8:34am,Howard University Hospital,Active
Miscellaneous,17-0981,8/1/2017 1:21am,8/1/2017 1:21am,7th and Florida Ave,Inactive
Miscellaneous,17-0982,8/1/2017 4:03am,8/1/2017 3:30am,Howard Plaza Towers East,Inactive
Threats,17-0983,8/1/2017 11:58am,8/1/2017 11:58am,2600 Block 6th Street,Inactive
Student Misconduct,17-0984,8/1/2017 5:55pm,8/1/2017 5:55pm,College Hall South,Active
Damaged Property,17-0985,8/2/2017 9:12am,8/2/2017 9:12am,9th and V Street,Inactive
Vehicle Accident,17-0986,8/2/2017 10:59am,8/2/2017 10:59am,Howard University Hospital,Inactive
Fire Alarm Activation,17-0987,8/2/2017 2:50pm,8/2/2017 2:50pm,Burr Gymnasium,Inactive
Damaged Property,17-0988,8/2/2017 6:35pm,8/2/2017 5:30pm,Howard University Hospital,Inactive
Lost Property,17-0989,8/2/2017 7:39pm,8/2/2017 5:45pm,Howard Plaza East,Inactive
Disorderly Conduct,17-0990,8/3/2017 1:19am,8/3/2017 12:40am,Howard University Hospital,Active
Sick Person,17-0991,8/3/2017 10:36am,8/3/2017 10:36am,Lower Campus,Inactive
Destruction of Property,17-0992,8/3/2017 11:31am,8/3/2017 8:30am,Locke Hall,Active
Sick Transport,17-0993,8/3/2017 11:39am,8/3/2017 11:39am,Student Health Center,Inactive
Sick Person,17-0994,8/3/2017 12:08pm,8/3/2017 12:08pm,Main Gate,Inactive
Sick Person,17-0995,8/3/2017 12:52pm,8/3/2017 12:52pm,Student Health Center,Inactive
Sick Person,17-0996,8/3/2017 4:31pm,8/3/2017 4:31pm,Student Health Center,Inactive
Miscellaneous,17-0997,8/3/2017 6:14pm,8/3/2017 1:30pm,Howard University Hospital,Active
Damaged Property,17-0998,8/3/2017 7:57pm,8/3/2017 7:57pm,A-1 Garage,Inactive
Miscellaneous,17-0999,8/3/2017 7:40pm,8/3/2017 7:30pm,HURB I,Inactive
Miscellaneous,17-1000,8/4/2017 8:17am,8/4/2017 7:45am,Administration Building,Inactive
Damaged Property,17-1001,8/4/2017 9:03am,8/4/2017 7:58am,HU Service Center,Inactive
Lost Property,17-1002,8/4/2017 12:09pm,8/4/2017 12:09pm,HU Service Center,Inactive
Theft 2,17-1003,8/6/2017 8:33pm,8/6/2017 4:13pm,Howard University Hospital,Inactive
Hazardous Elevator,17-1004,8/7/2017 6:48am,8/7/2017 6:48am,College of Dentistry,Inactive
Barring Notice,17-1005,8/7/2017 12:30pm,8/7/2017 12:30pm,Off Campus,Active
Found Property,17-1006,8/7/2017 2:55pm,8/7/2017 2:55pm,Childers Lot,Inactive
Simple Assault,17-1007,8/7/2017 7:57pm,8/7/2017 3:11pm,Howard University Hospital,Active
Theft 2,17-1008,8/7/2017 9:55pm,8/7/2017 8:20pm,Howard University Hospital,Active
Hazardous water leak,17-1009,8/8/2017 12:35am,8/8/2017 12:20am,Bethune Annex,Inactive
Panhandling,17-1010,8/8/2017 10:14am,8/8/2017 10:14am,Howard University Hospital,Active
Damaged Property,17-1011,8/8/2017 3:14pm,8/8/2017 3:07pm,Florida Ave. Lot,Inactive
Hazardous Water Leak,17-1012,8/8/2017 5:45pm,8/8/2017 4:08pm,Undergraduate Library,Inactive
Student Misconduct,17-1013,8/8/2017 5:53pm,8/8/2017 5:48pm,Howard Plaza Towers East,Active
Found Property,17-1014,8/8/2017 8:46pm,8/8/2017 8:46pm,Bethune Annex,Inactive
Sick Person,17-1015,8/8/2017 9:35pm,8/8/2017 8:51pm,Howard University Hospital,Inactive
Barring Notice,17-1016,8/9/2017 7:57am,8/9/2017 7:57am,Off Campus,Active
Barring Notice,17-1017,8/9/2017 8:16am,8/9/2017 8:16am,Off Campus,Active
Barring Notice,17-1018,8/9/2017 8:27am,8/9/2017 8:27am,Off Campus,Active
Barring Notice,17-1019,8/9/2017 8:33am,8/9/2017 8:33am,Off Campus,Active
Theft 2,17-1020,8/9/2017 5:20pm,8/9/2017 4:30pm,Howard University Hospital,Active
Sick Transport,17-1021,8/10/2017 1:59am,8/10/2017 1:59am,Dispatch,Inactive
Sick Person,17-1022,8/10/2017 1:04pm,8/10/2017 1:04pm,College Hall North,Inactive
Vehicle Accident,17-1023,8/10/2017 3:49pm,8/10/2017 3:45pm,Old Substation,Inactive
Unlawful Entry,17-1024,8/10/2017 8:43pm,8/10/2017 8:43pm,Founders Library,Active
Hazardous Water Leak,17-1025,8/11/2017 1:24am,8/11/2017 1:24am,Frazier Hall,Inactive
Hazardous Water Leak,17-1026,8/11/2017 1:27am,8/11/2017 1:27am,Cook Hall,Inactive
Sick Person,17-1027,8/11/2017 3:10am,8/11/2017 3:10am,Georgia & Bryant Street,Inactive
Fire Alarm Activation,17-1028,8/11/2017 6:32am,8/11/2017 6:32am,Stokes Library,Inactive
Damaged Property,17-1029,8/11/2017 10:05am,8/10/2017 7:18pm,Childers Lot,Inactive
Theft From Auto,17-1030,8/11/2017 11:17am,8/11/2017 11:00am,Howard Plaza Towers East,Active
Sick Person,17-1031,8/11/2017 4:15pm,8/11/2017 4:15pm,Administration Building,Inactive
Vehicle Accident,17-1032,8/11/2017 5:56pm,8/11/2017 5:31pm,Howard University Hospital,Inactive
Miscellaneous,17-1033,8/12/2017 1:38pm,8/12/2017 12:50pm,Howard University Hospital,Active
Lost Property,17-1034,8/12/2017 2:48pm,8/10/2017 11:30pm,Banneker Field,Active
Sick Person,17-1035,8/12/2017 6:36pm,8/12/2017 6:36pm,Howard University Hospital,Inactive
Lost Property,17-1036,8/12/2017 7:11pm,8/12/2017 7:11pm,Social Work,Inactive
Hazardous Water Leak,17-1037,8/12/2017 8:13pm,8/12/2017 8:13pm,Adams Building,Inactive
Hazardous Water Leak,17-1038,8/12/2017 9:00pm,8/12/2017 9:00pm,Social Work,Inactive
Lost Property,17-1039,8/12/2017 10:04pm,8/11/2017 1:10pm,Quadrangle,Inactive
Unlawful Entry,17-1040,8/12/2017 10:13pm,8/12/2017 10:13pm,Bethune Annex,Active
Fire Alarm Activation,17-1041,8/12/2017 10:25pm,8/12/2017 10:25pm,College Hall South,Inactive
Sick Person,17-1042,8/13/2017 9:44am,8/13/2017 9:44am,Baldwin Hall,Inactive
Fire Alarm Activation,17-1043,8/13/2017 2:37pm,8/13/2017 2:37pm,Bethune Annex,Inactive
Fire Alarm Activation,17-1044,8/13/2017 5:10pm,8/13/2017 5:10pm,Howard Plaza East,Inactive
Student Misconduct,17-1045,8/13/2017 5:41pm,8/13/2017 5:41pm,500 Block Harvard Place NW,Active
Theft 2,17-1046,8/13/2017 10:27pm,8/13/2017 10:00pm,Banneker Field,Active
Injured Person,17-1047,8/14/2017 6:29pm,8/14/2017 6:29pm,Burr Gymnasium,Inactive
Lost Property,17-1048,8/14/2017 7:24pm,8/12/2017 1:00pm,Burr Gymnasium,Inactive
Lost Property,17-1049,8/14/2017 7:59pm,8/14/2017 1:00am,Drew Hall,Inactive
Sick Person,17-1050,8/15/2017 2:48am,8/15/2017 2:20am,College Hall North,Inactive
Fire Alarm Activation,17-1051,8/15/2017 6:49am,8/15/2017 6:49am,Crandall Hall,Inactive
Lost Property,17-1052,8/15/2017 8:44am,8/15/2017 8:44am,On Campus,Inactive
Fire Alarm Activation,17-1053,8/15/2017 10:15am,8/15/2017 10:15am,College of Dentistry,Inactive
Miscellaneous,17-1054,8/15/2017 11:40am,8/15/2017 11:40am,Rankin Chapel,Inactive
Miscellaneous,17-1055,8/16/2017 2:52am,8/16/2017 2:52am,Lower Campus,Inactive
Robbery Snatch,17-1056,8/16/2017 4:34am,8/16/2017 1:18am,4th and McMillan,Active
Miscellaneous,17-1057,8/16/2017 10:33am,8/16/2017 10:00am,Howard Center,Inactive
Lost Property,17-1058,8/16/2017 12:19pm,8/16/2017 11:45am,HU Hospital,Inactive
Fire Alarm Activation,17-1059,8/16/2017 11:56am,8/16/2017 11:56am,College Hall South,Inactive
Disorderly Conduct,17-1060,8/16/201711:16pm,8/16/201711:16pm,Off Campus,Active
Fire Alarm Activation,17-1061,8/17/2017 6:37am,8/17/2017 6:37am,HURB I,Inactive
Sick Person,17-1062,8/17/2017 9:15am,8/17/2017 9:15am,Student Health Clinic,Inactive
Lost Property,17-1063,8/17/2017 10:52am,8/17/2017 10:52am,Adams Building,Inactive
Harassment,17-1064,8/17/2017 1:23pm,8/17/2017 11:00am,HU Hospital,Active
Student Misconduct,17-1065,8/17/2017 4:32pm,8/17/2017 4:32pm,Fine Arts Building,Active
Hazardous Water Leak,17-1066,8/17/2017 8:19pm,8/17/2017 8:19pm,Bethune Annex,Inactive
Student Misconduct,17-1067,8/17/2017 7:34pm,8/17/2017 7:34pm,Founders Library,Active
Theft 2,17-1068,8/18/2017 9:08am,8/18/2017 9:08am,I-Lab,Active
Theft 2,17-1069,8/18/2017 12:15pm,8/18/2017 9:30am,Mudd Building,Active
Theft 2,17-1070,8/18/2017 1:40pm,8/18/2017 1:16pm,HU Hospital,Active
Lost Property,17-1071,8/18/2017 2:03pm,8/18/2017 1:00pm,Off Campus,Inactive
Suspicious Odor,17-1072,8/18/2017 2:03pm,8/18/2017 2:03pm,Howard Plaza Towers West,Active
Injured Person,17-1073,8/18/2017 4:38pm,8/17/2017 12:30pm,Howard Plaza Towers East,Inactive
Hazardous Water Leak,17-1074,8/18/2017 6:43pm,8/18/2017 6:43pm,Adams Building,Inactive
Fire Alarm Activation,17-1075,8/18/2017 6:38pm,8/18/2017 6:38pm,Howard Plaza Towers West,Inactive
Sick Transport,17-1076,8/18/2017 6:54pm,8/18/2017 2:00pm,Bethune Annex,Inactive
Injured Person,17-1077,8/18/2017 9:38pm,8/18/2017 9:38pm,Frazier Hall,Inactive
Injured Person,17-1078,8/19/2017 6:27am,8/19/2017 6:27am,Cook Hall,Inactive
Student Misconduct,17-1079,8/19/2017 3:11pm,8/19/2017 3:11pm,Bethune Annex,Active
Fire Alarm Activation,17-1080,8/19/2017 7:57pm,8/19/2017 7:57pm,Social Work,Inactive
Sick Person,17-1081,8/19/2017 11:58pm,8/19/2017 11:58pm,Bethune Annex,Inactive
Damaged Property,17-1082,8/20/2017 12:11am,8/20/2017 12:11am,Drew Hall,Inactive
Hazardous Elevator,17-1083,8/20/2017 1:42am,8/20/2017 1:42am,Howard Plaza Towers West,Inactive
Sick Person,17-1084,8/20/2017 2:53am,8/20/2017 2:50am,HU Hospital,Inactive
Damaged Property,17-1085,8/20/2017 9:40am,8/20/2017 9:15am,HU Hospital,Inactive
Found Property,17-1086,8/20/2017 10:09am,8/20/2017 10:09am,Main Gate,Inactive
Found Property,17-1087,8/20/2017 1 :58pm,8/20/2017 1 :58pm,Main Gate,Inactive
Suspicious Odor,17-1088,8/20/2017 2:20pm,8/20/2017 2:20pm,Howard Plaza Towers West,Active
Sick Person,17-1089,8/20/2017 3:04pm,8/20/2017 3:04pm,Blackburn Center,Inactive
Sick Person,17-1090,8/20/2017 4:30pm,8/20/2017 4:30pm,Blackburn Center,Inactive
NO Report,17-1091,,,,
Miscellaneous,17-1092,8/20/2017 7:39pm,8/20/2017 7:39pm,Founders Library,Inactive
Unlawful Entry,17-1093,8/20/2017 5:16pm,8/20/2017 5:16pm,HUIRB,Active
Fire Alarm Activation,17-1094,8/20/2017 8:22pm,8/20/2017 8:20pm,Howard Plaza Towers West,Inactive
Miscellaneous,17-1095,8/20/2017 7:39pm,8/20/2017 7:35pm,Founders Library,Active
Vehicle Accident,17-1096,8/20/2017 10:08pm,8/20/2017 10:08pm,4th and McMillan,Active
Sick Person,17-1097,8/21/2017 12:40am,8/21/2017 12:30am,HU Hospital,Inactive
Threats,17-1098,8/21/2017 2:03am,8/21/2017 1:58am,HU Hospital,Active
Fire Alarm Activation,17-1099,8/21/2017 2:40am,8/21/2017 2:40am,Howard Plaza Towers West,Inactive
Fire Alarm Activation,17-1100,8/21/2017 5:44am,8/21/2017 5:44am,Dental School,Inactive
Disorderly Conduct,17-1101,8/21/2017 11:38am,8/21/2017 11:38am,Administration Building,Active
Miscellaneous,17-1102,8/21/2017 2:49pm,8/21/2017 2:25pm,HU Service Center,Active
Sick Person,17-1103,8/21/2017 2:43pm,8/21/2017 2:43pm,Blackburn Center,Inactive
Hazardous Elevator,17-1104,8/21/2017 4:25pm,8/21/2017 4:10pm,Administration Building,Inactive
Sick Person,17-1105,8/21/2017 9:35pm,8/21/2017 3:45pm,Howard University Hospital,Inactive
Student Misconduct,17-1106,8/21/2017 10:10pm,8/21/2017 9:38pm,Founders Library,Active
Unlawful Entry,17-1107,8/21/2017 9:38pm,8/21/2017 9:38pm,Founders Library,Active
Sick Person,17-1108,8/21/2017 11:15pm,8/21/2017 11:15pm,Bethune Annex,Inactive
Fire Alarm Activation,17-1109,8/22/2017 1:22am,8/22/2017 1:22am,Cook Hall,Inactive
Verbal Dispute,17-1110,8/22/2017 10:16am,8/22/2017 10:16am,2600 Block 6th St. NW,Active
Fire Alarm Activation,17-1111,8/22/2017 12:18pm,8/22/2017 12:18pm,Bethune Annex,Inactive
Theft 2,17-1112,8/22/2017 2:11pm,8/22/2017 1:50pm,Bethune Annex,Active
Theft From Auto,17-1113,8/22/2017 6:16pm,8/22/2017 6:00pm,Howard Center Lot,Active
Sick Person,17-1114,8/22/2017 8:12pm,8/22/2017 8:00pm,Howard University Hospital,Inactive
Theft From Auto,17-1115,8/22/2017 8:27pm,8/22/2017 8:25pm,Georgia Ave. Lot Active
Disorderly Conduct,17-1116,8/22/2017 6:53pm,8/22/2017 6:53pm,Locke Hall Active
Found Property,17-1117,8/23/2017 12:22am,8/23/2017 12:12am,HU Service Center Inactive
Miscellaneous,17-1118,8/23/2017 10:00am,8/23/2017 10:00am,Ralphe Bunch Building Active
Miscellaneous,17-1119,8/23/2017 2:47pm,8/23/2017 1:00pm,Howard University Hospital Active
Miscellaneous,17-1120,8/23/2017 4:03pm,8/19/2017 12:18pm,Bethune Annex Active
Fire Alarm Activation,17-1121,8/23/2017 6:42pm,8/23/2017 6:42pm,Quadrangle Inactive
Lost Property,17-1122,8/23/2017 9:08pm,8/23/2017 8:30pm,Carnegie Hall Inactive
Miscellaneous,17-1123,8/23/2017 8:36pm,8/23/2017 8:00pm,College Hall South Active
Sick Person,17-1124,8/24/2017 2:24pm,8/24/2017 1:55am,Howard University Hospital Inactive
Found Property,17-1125,8/24/2017 12:22pm,8/24/2017 12:05pm,Carver Hall Inactive
Found Property,17-1126,8/24/2017 4:24pm,8/24/2017 4:24pm,College Hall North Inactive
Found Property,17-1127,8/24/2017 6:24pm,8/24/2017 6:24pm,Off Campus Inactive
Found Property,17-1128,8/24/2017 4:20pm,8/24/2017 4:20pm,College Hall North Inactive
Sick Person,17-1129,8/24/2017 10:30pm,8/24/2017 5:00pm,Howard University Hospital Inactive
Injured Person,17-1130,8/24/2017 10:42pm,8/24/2017 6:50pm,Off Campus Inactive
Possession of Marijuana,17-1131,8/24/2017 10:01pm,8/24/2017 10:01pm,Wonder Plaza Lot Active
Sick Person,17-1132,8/25/2017 12:07am,8/25/2017 12:07am,Drew Hall Inactive
Lost Property,17-1133,8/25/2017 8:13am,8/25/2017 6:00am,College Hall South Inactive
Sick Person,17-1134,8/25/2017 10:19am,8/25/2017 10:19am,Howard University Hospital Inactive
Miscellaneous,17-1135,8/25/2017 11:58am,8/25/2017 8:35am,Founders Library Inactive
Student Misconduct,17-1136,8/25/2017 12:39pm,8/25/2017 12:39pm,Howard Plaza Towers West Active
Threats,17-1137,8/25/2017 2:27pm,8/24/2017 2:00pm,College Hall South Active
Sick Person,17-1138,8/25/2017 5:15pm,8/25/2017 5:10pm,Howard University Hospital Inactive
Possession of Marijuana,17-1139,8/25/2017 7:23pm,8/25/2017 7:00pm,Howard Plaza Towers West Active
Injured Person,17-1140,8/25/2017 9:59pm,8/25/2017 9:53pm,Greene Stadium Inactive
Injured Person,17-1141,8/25/2017 10:07pm,8/25/2017 6:18pm,Howard University Hospital Inactive
Disorderly Conduct,17-1142,8/26/2017 2:17am,8/26/2017 2:17am,Howard University Hospital Active
Armed Robbery,17-1143,8/26/2017 4:02am,8/26/2017 4:02am,9th and Barry Place NW Active
Assault on a Police Officer,17-1144,8/26/2017 4:44am,8/26/2017 4:39am,Howard Plaza Towers East Lot Active
Fire Alarm Activation,17-1145,8/26/2017 1:11pm,8/26/2017 1:11pm,College Hall North Inactive
Sick Person,17-1146,8/26/2017 3:45pm,8/26/2017 3:45pm,Drew Hall Inactive
Hazardous Elevator,17-1147,8/26/2017 4:58pm,8/26/2017 4:45pm,Howard Plaza Towers West Inactive
Fire,17-1148,8/27/2017 8:03pm,8/27/2017 7:57pm,Howard Plaza Towers West Active
Alarm Activation,17-1149,8/28/2017 4:47am,8/28/2017 4:40am,Howard University Hospital Inactive
Sick Person,17-1150,8/28/2017 1:29pm,8/28/2017 1:25pm,Cramton Auditorium Inactive
Found Property,17-1151,8/28/2017 2:04pm,8/28/2017 2:04pm,Administration Building Active
Sick Person,17-1152,8/28/2017 6:43pm,8/28/2017 6:43pm,Quadrangle Inactive
Miscellaneous,17-1153,8/28/2017 6:44pm,8/28/2017 6:44pm,Upper Campus Active
Fire Alarm Activation,17-1154,8/28/2017 9:08pm,8/28/2017 9:08pm,Howard Plaza West Inactive
Miscellaneous,17-1155,8/28/2017 10:45pm,8/28/2017 10:45pm,Physics Building Active
Found Property,17-1156,8/29/2017 6:37am,8/29/2017 6:25am,Howard University Hospital Inactive
Theft 2,17-1157,8/29/2017 8:25am,8/29/2017 8:00am,Howard University Hospital Active
Sick Person,17-1158,8/29/2017 9:39am,8/29/2017 9:39am,College Hall North Inactive
Hazardous Elevator,17-1159,8/29/2017 10:54am,8/29/2017 10:54am,Administration Building Inactive
Damaged Property,17-1160,8/29/2017 4:03pm,8/29/2017 4:03pm,Off Campus Inactive
Theft 2,17-1161,8/29/2017 8:52pm,8/29/2017 7:30pm,Howard Plaza Towers West Active
Harassment,17-1162,8/29/2017 10:37pm,8/29/2017 8:15pm,College Hall North Active
Sick Person,17-1163,8/29/2017 11:00pm,8/29/2017 10:51pm,Howard University Hospital Inactive
Sick Person,17-1164,8/29/2017 11:18pm,8/29/2017 11:13pm,Howard University Hospital Inactive
Sick Person,17-1165,8/30/2017 1:37am,8/30/2017 1:15am,Howard University Hospital Inactive
Unlawful Entry,17-1166,8/30/2017 12:24am,8/30/2017 12:17am,Howard University Hospital Active
