NATURES OF CRIMES,"CASENUMBERS",DATE/TIME REPORTED,"DATE/TIMEOCCURRED"
Disorderly Conduct,19-0935,08/21/2019 1:06pm,08/21/2019 12:46pm,Howard University Hospital
Theft 2,19-0936,08/21/2019 2:29pm,08/21/2019 2:20pm,Howard University Hospital
Theft 2,19-0937,08/21/2019 3:21pm,08/21/2019 3:21pm,School of Business
Theft From Auto,19-0938,08/21/2019 3:56pm,08/21/2019 3:30pm,2200 Block 6th Street
Destruction of Property,19-0939,08/21/2019 3:27pm,08/21/2019 3:27pm,500 block W  Street
Fire Alarm Activation,19-0940,08/21/2019 10:50pm,08/21/2019 10:50pm,Howard Plaza Towers West
Burglary 2,19-0941,08/22/2019 7:57am,08/22/2019 7:57am,Howard University Hospital
Sick Person,19-0942,08/22/2019 11:13am,08/22/2019 11:13am,Blackburn Center
Threats to do Bodily Harm,19-0943,08/22/2019 12:02pm,08/22/2019 11:40am,Off Campus
Theft 2,19-0944,08/22/2019 1:43pm,08/22/2019 1:00pm,Howard University Hospital
Found Property,19-0945,08/22/2019 4:25pm,08/22/2019 2:00pm,Locke Hall
Hazardous Water Leak,19-0946,08/22/2019 7:21pm,08/22/2019 6:55pm,College of Dentistry
Miscellaneous,19-0947,08/22/2019 9:03pm,08/22/2019 9:03pm,Off Campus
Miscellaneous,19-0948,08/22/2019 10:51pm,08/22/2019 10:00pm,Howard University Hospital
Miscellaneous,19-0949,08/23/2019 9:55am,08/23/2019 9:55am,Bethune Annex
Found Property,19-0950,08/23/2019 2:59pm,08/23/2019 12:00pm,HU Service Center
Destruction of Property,19-0951,08/23/2019 8:03pm,08/23/2019 7:30pm,Banneker South Parking Lot
Lost Property,19-0952,08/24/2019 12:50am,08/24/2019 12:45am,College Hall South
Fire Alarm Activation,19-0953,08/24/2019 2:04pm,08/24/2019 2:04pm,Howard University Hospital
Fire Alarm Activation,19-0954,08/24/2019 2:09pm,08/24/2019 2:09pm,Quadrangle
Fire Alarm Activation,19-0955,08/24/2019 2:43pm,08/24/2019 2:43pm,Howard Plaza Towers East
Theft From Auto,19-0956,08/24/2019 3:45pm,08/24/2019 3:30pm,2400 Block 6th Street NW
Theft From Auto,19-0957,08/24/2019 4:30pm,08/24/2019 4:30pm,2700 Block 6th Street NW
Found Property,19-0958,08/23/2019 12:32pm,08/23/2019 12:32pm,HU Service Center
Sick Person,19-0959,08/25/2019 12:02pm,08/25/2019 12:02pm,College Hall South
Sick Person,19-0960,08/25/2019 1:35pm,08/25/2019 1:35pm,Locke Hall
Unlawful Entry,19-0961,08/26/2019 12:46pm,08/26/2019 12:46pm,Bookstore
Damaged Property,19-0962,08/26/2019 4:00pm,08/23/2019 2:00pm,Howard Plaza Towers East
Lost Property,19-0963,08/26/2019 5:08pm,08/19/2019 12:00pm,HU Research Lab
Unlawful Entry,19-0964,08/26/2019 5:34pm,08/26/2019 5:34pm,Founders Library
Sick Transport,19-0965,08/26/2019 9:58pm,08/26/2019 9:35pm,Greene Stadium Lot
Sick Person,19-0966,08/26/2019 10:36pm,08/26/2019 10:36pm,Howard Plaza Towers West
Student Misconduct,19-0967,08/26/2019 11:22pm,08/26/2019 11:22pm,Quadrangle
Title 9,19-0968,08/27/2019 11:10am,08/27/2019 11:00am,Off Campus
Title 9,19-0969,08/27/2019 11:12am,08/27/2019 11:00am,Off Campus
Verbal Dispute,19-0970,08/27/2019 11:50am,08/23/2019 12:00pm,Biology Building
Sick Person,19-0971,08/27/2019 2:16pm,08/27/2019 1:55pm,HU Service Center
Theft 2,19-0972,08/27/2019 2:32pm,08/17/2019 9:00am,Howard Plaza Towers West
Harassment,19-0973,08/27/2019 8:33pm,08/27/2019 8:33pm,Howard Plaza Towers East
Hazardous Odor,19-0974,08/28/2019 10:53am,08/28/2019 10:53am,HURB 1
Found Property,19-0975,08/28/2019 2:17pm,08/28/2019 2:17pm,Bethune Annex
Theft 2,19-0976,08/28/2019 5:10pm,08/18/2019 5:00pm,Howard Center
Found Property,19-0977,08/28/2019 7:46pm,08/28/2019 7:46pm,Undergraduate Library
Fire Alarm Activation,19-0978,08/29/2019 11:20am,08/29/2019 11:20am,Howard Plaza Towers East
Hazardous Elevator,19-0979,08/29/2019 2:17pm,08/29/2019 2:17pm,Howard University Hospital
Lost Property,19-0980,08/29/2019 2:41pm,08/29/2019 12:00pm,Off Campus
Injured Person,19-0981,08/29/2019 5:17pm,08/29/2019 5:10pm,Howard University Hospital
Vandalism,19-0982,08/29/2019 5:47pm,08/27/2019 4:00pm,College Hall South
Fire Alarm Activation,19-0983,08/29/2019 5:31pm,08/29/2019 5:31pm,Quadrangle
Verbal Dispute,19-0984,08/29/2019 8:15pm,08/29/2019 8:15pm,Howard University Hospital
Fire Alarm Activation,19-0985,08/29/2019 9:01pm,08/29/2019 9:01pm,College Hall South
Vehicle Accident,19-0986,08/29/2019 11:42pm,08/29/2019 11:42pm,"Sherman Ave, & Barry Place"
Fire Alarm Activation,19-0987,08/30/2019 12:09am,08/30/2019 12:09am,Quadrangle
Domestic Violence,19-0988,08/30/2019 6:21am,08/30/2019 6:21am,School of Business
Damaged Property,19-0989,08/30/2019 12:47pm,08/25/2019 5:00pm,Howard Plaza Towers West
Harassment,19-0990,08/30/2019 12:34pm,08/29/2019 4:41pm,C B Powell Building
Fire Alarm Activation,19-0991,08/30/2019 3:54pm,08/30/2019 3:54pm,College Hall North
Fire Alarm Activation,19-0992,08/30/2019 7:14pm,08/30/2019 7:14pm,Howard Plaza Towers East
Theft 2,19-0993,08/30/2019 7:17pm,08/30/2019 4:30pm,Howard Plaza Towers West
Unlawful Entry,19-0994,08/31/2019 12:32am,08/31/2019 12:32am,6th & Bryant Street NW
Miscellaneous,19-0995,08/31/2019 11:00am,08/31/2019 11:00am,Howard Plaza Towers East
Sick Person,19-0996,08/31/2019 11:43am,08/31/2019 11:02am,Howard University Hospital
Hazardous Water Leak,19-0997,08/31/2019 7:51pm,08/31/2019 7:51pm,Engineering Building
Destruction of Property,19-0998,08/31/2019 9:05pm,08/31/2019 8:32pm,A-2 Garage
Vehicle Accident,19-0999,08/30/2019 9:10pm,08/30/2019 8:45pm,Off Campus
Fire Alarm Activation,19-1000,09/01/2019 7:30am,09/01/2019 7:30am,College Hall South
Injured Person,19-1001,09/01/2019 2:22pm,09/01/2019 2:22pm,Burr Gym
Injured Person,19-1002,09/01/2019 7:10pm,09/01/2019 7:10pm,Bethune Annex
Sick Person,19-1003,09/02/2019 3:44am,09/02/2019 3:44am,Quadrangle
Sick Person,19-1004,09/02/2019 3:34pm,09/02/2019 3:34pm,Bethune Annex
Health & Welfare Check,19-1005,09/02/2019 3:07pm,09/02/2019 3:07pm,College Hall South
Threats to do Bodily Harm,19-1006,09/03/2019 11:22am,09/03/2019 11:00am,Howard Plaza Towers East
Injured Person,19-1007,09/03/2019 11:50am,08/26/2019 9:45pm,Off Campus
Damaged Property,19-1008,09/03/2019 1:17pm,09/03/2019 1:17pm,Adams Building
Damaged Property,19-1009,09/03/2019 2:12pm,09/03/2019 1:54pm,9th Street Lot
Credit Card Fraud,19-1010,09/03/2019 3:11pm,09/03/2019 3:11pm,Annex 3
Lost Property,19-1011,09/03/2019 3:59pm,09/02/2019 2:40am,Howard Plaza Towers West
Destruction of Property,19-1012,09/03/2019 4:48pm,09/03/2019 4:00pm,Howard University Hospital
Fire Alarm Activation,19-1013,09/03/2019 7:28pm,09/03/2019 7:28pm,College Hall South
Eloped Patient,19-1014,09/04/2019 11:37am,09/04/2019 11:00am,Howard Plaza Towers West
Theft 2,19-1015,09/04/2019 11:12am,08/29/2019 8:00am,C B Powell Building
Hazardous Elevator,19-1016,09/04/2019 4:21pm,09/04/2019 4:21pm,Architecture and Planning
Hazardous Elevator,19-1017,09/05/2019 12:14pm,09/05/2019 12:14pm,Administration Building
Credit Card Fraud,19-1018,09/05/2019 1:24pm,09/04/2019 6:27pm,College Hall South
Hazardous Smoke,19-1019,09/05/2019 2:53pm,09/05/2019 2:53pm,Mudd Building
Fire Alarm Activation,19-1020,09/05/2019 4:05pm,09/05/2019 4:05pm,College Hall North
Fire Alarm Activation,19-1021,09/05/2019 7:51pm,09/05/2019 7:51pm,Howard Plaza Towers East
Sick Person,19-1022,09/06/2019 12:09am,09/06/2019 12:09am,I Lab
Fire Alarm Activation,19-1023,09/06/2019 10:49am,09/06/2019 10:49am,Howard University Hospital
Student Misconduct,19-1024,09/06/2019 3:58pm,09/06/2019 3:01pm,Administration Building
Fire Alarm Activation,19-1025,09/06/2019 4:39pm,09/06/2019 4:21pm,Howard University Hospital
Threats to do Bodily Harm,19-1026,09/06/2019 4:08pm,09/02/2019 2:00am,Bethune Annex
Fire Alarm Activation,19-1027,09/06/2019 10:06pm,09/06/2019 10:06pm,Bethune Annex
Simple Assault,19-1028,09/07/2019 4:28am,09/07/2019 4:28am,Howard Plaza Towers East
Threats to do Bodily Harm,19-1029,09/07/2019 7:57pm,09/07/2019 4:30pm,Howard Plaza Towers West
Damaged Property,19-1030,09/08/2019 4:50pm,09/08/2019 4:30pm,Howard Plaza Towers West
Fire Alarm Activation,19-1031,09/08/2019 9:53pm,09/08/2019 9:53pm,College Hall North
Fire Alarm Activation,19-1032,09/08/2019 11:03pm,09/08/2019 11:03pm,Howard Hall
Simple Assault,19-1033,09/09/2019 7:57pm,09/09/2019 7:57pm,Crandall Hall
Destruction of Property,19-1034,09/09/2019 8:56pm,09/09/2019 4:00pm,Howard University Hospital
Hit and Run,19-1035,09/09/2019 11:47pm,09/09/2019 11:47pm,College Hall North
Fire Alarm Activation,19-1036,09/10/2019 11:50am,09/10/2019 11:50am,College Hall North
Disorderly Conduct,19-1037,09/11/2019 6:40am,09/10/2019 4:20am,Howard University Hospital
Injured Person,19-1038,09/11/2019 12:15pm,09/11/2019 12:07pm,Howard University Hospital
Recovered Property,19-1039,09/11/2019 12:58pm,09/11/2019 12:58pm,Off Campus
Unlawful Entry,19-1040,09/11/2019 1:45pm,09/11/2019 12:30pm,Off Campus
Hazardous Elevator,19-1041,09/11/2019 1:36pm,09/11/2019 1:36pm,Burr Gym
Lost Property,19-1042,09/11/2019 3:52pm,09/10/2019  9:35pm,Off Campus
Harassment,19-1043,09/11/2019 4:16pm,09/03/2019 12:00pm,Off Campus
Theft 2,19-1044,09/11/2019 4:53pm,09/11/2019 4:53pm,Wonder Plaza
Fire Alarm Activation,19-1045,09/11/2019 8:22pm,09/11/2019 8:22pm,Quadrangle
Lost Property,19-1046,09/11/2019 9:49pm,09/11/2019 9:49pm,HU Service Center
Unlawful Entry,19-1047,09/12/2019 12:56am,09/12/2019 12:56am,C B Powell Building
Damaged Property,19-1048,09/12/2019 10:54am,09/12/2019 10:54am,2000 Block Georgia Ave.
Damaged Property,19-1049,09/12/2019 1:09pm,09/12/2019 11:00am,4th & Bryant Street
Fire,19-1050,09/12/2019 2:54pm,09/12/2019 12:13pm,Howard University Hospital
Destruction of Property,19-1051,09/12/2019 3:39pm,09/12/2019 3:39pm,Howard Plaza Towers East
Injured Person,19-1052,09/12/2019 8:13pm,09/12/2019 8:13pm,College Hall North
Suspicious package,19-1053,09/13/2019 11:56am,09/13/2019 11:56am,HU Service Center
Theft 2,19-1054,09/13/2019 2:41pm,09/13/2019 2:16pm,Howard University Hospital
Hazardous Odor,19-1055,09/13/2019 4:53pm,09/13/2019 3:55pm,Engineering Building
Theft From Auto,19-1056,09/13/2019 5:08pm,09/13/2019 5:08pm,East Towers Parking Lot
Fire Alarm Activation,19-1057,09/13/2019 5:43pm,09/13/2019 5:43pm,College Hall North
Disorderly Conduct,19-1058,09/14/2019 1:50pm,09/14/2019 1:50pm,Howard University Hospital
Sexual Assault,19-1059,09/14/2019 3:31pm,09/14/2019 3:31pm,Off Campus
Sick Person,19-1060,09/14/2019 11:04pm,09/14/2019 11:04pm,Cook Hall
Sick Person,19-1061,09/15/2019 9:16am,09/15/2019 9:16am,Cook Hall
Unlawful Entry,19-1062,09/15/2019 12:48pm,09/15/2019 12:48pm,College Hall South
Theft From Auto,19-1063,09/15/2019 3:51pm,09/15/2019 3:51pm,Banneker South Parking Lot
Suspicious Person,19-1064,09/15/2019 4:37pm,09/15/2019 4:37pm,Social Work
Injured Person,19-1065,09/15/2019 6:05pm,09/15/2019 6:05pm,Mudd Building
Lost Property,19-1066,09/15/2019 6:50pm,09/15/2019 3:00am,College Hall North
Student Misconduct,19-1067,09/15/2019 9:07pm,09/15/2019 9:07pm,Howard Plaza Towers East
Injured Person,19-1068,09/13/2019 9:24am,09/13/2019 7:35am,Howard University Hospital
Fire Alarm Activation,19-1069,09/16/2019 12:10pm,09/16/2019 12:10pm,Blackburn Center
Sick Person,19-1070,09/16/2019 12:49pm,09/16/2019 12:45pm,HU Service Center
Fire Alarm Activation,19-1071,09/16/2019 6:47pm,09/16/2019 6:47pm,Howard Plaza Towers West
Found Property,19-1072,9/15/2019 4:13pm,9/15/2019 4:13pm,Cramton Auditorium
Sick Person,19-1073,09/16/2019 11:15pm,09/16/2019 11:15pm,Crandall Hall
Vehicle Accident,19-1074,09/17/2019 8:59am,09/17/2019 8:59am,Mackey Lot
Lost Property,19-1075,09/17/2019 11:05am,09/13/2019 1:00pm,Chemistry Building
Injured Person,19-1076,09/17/2019 1:21pm,09/17/2019 11:47am,Howard University Hospital
Eloped Patient,19-1077,09/17/2019  1:37pm,09/17/2019 1:30pm,Howard University Hospital
Injured Person,19-1078,09/17/2019 2:17pm,09/17/2019 2:05pm,Howard University Hospital
Theft From Auto,19-1079,09/17/2019 8:53pm,09/17/2019 8:53pm,Childers Lot
Miscellaneous,19-1080,09/17/2019 10:08pm,09/17/2019 8:48pm,Howard University Hospital
Student Misconduct,19-1081,09/17/2019 9:54pm,09/17/2019 9:54pm,Howard Plaza Towers East
Miscellaneous,19-1082,09/18/2019 10:38am,09/18/2019 10:38am,Middle School
Sick Person,19-1083,09/18/2019 12:19pm,09/18/2019 12:19pm,Main Yard
Theft 1,19-1084,09/18/2019 12:25pm,09/18/2019 10:00am,Biology Building
Sick Person,19-1085,09/18/2019 7:39pm,09/18/2019 7:32pm,Social Work
Hazardous Elevator,19-1086,09/18/2019 7:18pm,09/18/2019 7:18pm,Howard Center
Unlawful Entry,19-1087,09/18/2019 9:07pm,09/18/2019 9:07pm,C B Powell Building
Fire Alarm Activation,19-1088,09/19/2019 4:31am,09/19/2019 4:31am,Wonder Plaza
Fire Alarm Activation,19-1089,09/19/2019 8:42am,09/19/2019 8:42am,Medical Arts Building
Vehicle Accident,19-1090,09/19/2019 1:12pm,09/19/2019 1:00pm,6th & Bryant Street NW
Fraud,19-1091,09/19/2019 3:24pm,09/19/2019 12:45pm,Blackburn Center
Sick Person,19-1092,09/19/2019 3:28pm,09/19/2019 3:28pm,Blackburn Center
Fire Alarm Activation,19-1093,09/19/2019 4:09pm,09/19/2019 4:09pm,Social Work
Fire,19-1094,09/19/2019 5:26pm,09/19/2019 5:26pm,2400 block 4th Street NW
Threats,19-1095,09/19/2019 9:37am,09/19/2019 2:00am,College Hall South
Credit Card Fraud,19-1096,09/20/2019 11:04am,08/27/2019 12:00pm,College Hall South
Found Property,19-1097,09/20/2019 3:26pm,09/20/2019 3:26pm,Howard University Hospital
Sick Person,19-1098,09/20/2019 7:28pm,09/20/2019 7:28pm,Fine Arts
Simple Assault,19-1099,09/21/2019 9:43am,09/21/2019 9:43am,Howard University Hospital
Sick Person,19-1100,09/21/2019 2:17pm,09/21/2019 2:17pm,Quadrangle
Fire Alarm Activation,19-1101,09/22/2019 2:02am,09/22/2019 2:02am,Burr Gym
Sick Person,19-1102,09/22/2019 2:51am,09/22/2019 2:51am,Biology Building
Fire Alarm Activation,19-1103,09/22/2019 8:29pm,09/22/2019 8:29pm,Baldwin Hall
Lost Property,19-1104,09/22/2019 8:50pm,09/22/2019 8:50pm,Howard University Hospital
Fraud,19-1105,09/23/2019 6:30pm,09/21/2019 2:10pm,Bethune Annex
Sick Person,19-1106,09/23/2019 8:42pm,09/23/2019 8:42pm,Greene Stadium
Sick Person,19-1107,09/24/2019 11:18am,09/24/2019 11:18am,Administration Building
Harassment,19-1108,09/24/2019 12:37pm,09/24/2019 12:37pm,College Hall South
Sick Person,19-1109,09/24/2019 6:26pm,09/24/2019 6:26pm,School of Business
Extortion,19-1110,09/24/2019 5:48pm,09/24/2019 5:30pm,Off Campus
Assault on a Police Officer,19-1111,09/25/2019 1:27am,09/25/2019 1:10am,Howard University Hospital
Vandalism,19-1112,09/25/2019 9:07am,09/25/2019 9:07am,Howard University Hospital
Simple Assault,19-1113,09/25/2019 10:07am,09/15/2019 10:15pm,Georgia & W Street
Injured Person,19-1114,09/25/2019 10:50am,09/25/2019 10:50am,College Hall South
Fire Alarm Activation,19-1115,09/25/2019 11:03am,09/25/2019 11:03am,Howard Plaza Towers West
Lost Property,19-1116,09/25/2019 11:47am,09/20/2019 12:30pm,Blackburn Center
Threats,19-1117,09/25/2019 9:33am,09/24/2019 5:15pm,Axis Building
Vandalism,19-1118,9/25/2019  1:04pm,09/25/2019 9:30am,Howard University Hospital
Fire Alarm Activation,19-1119,09/25/2019 1:00pm,09/25/2019 1:00pm,Howard Plaza Towers West
Lost Property,19-1120,09/25/2019 5:09pm,09/22/2019 7:00am,Wonder Plaza
Miscellaneous,19-1121,09/25/2019 11:27pm,09/25/2019 11:25pm,HU Service Center
Lost Property,19-1122,09/26/2019 11:25am,09/17/2019 1:15pm,Burr Gym
Hazardous Smoke,19-1123,09/26/2019 2:49pm,09/26/2019 2:49pm,Administration Building
Theft 2,19-1124,09/26/2019 4:16pm,09/24/2019 8:50pm,Stokes Library
Found Property,19-1125,09/26/2019 6:57pm,09/26/2019 6:57pm,Annex 2
Burglary 2,19-1126,09/26/2019 7:14pm,09/26/2019 7:14pm,Fine Arts
Fraud,19-1127,09/26/2019 10:54pm,09/26/2019 5:30pm,Howard Plaza Towers East
Found Property,19-1128,09/27/2019 4:06am,09/27/2019 4:06am,School of Business
Fire Alarm Activation,19-1129,09/27/2019 9:20am,09/27/2019 9:20am,Social Work
Vehicle Accident,19-1130,09/27/2019 2:18pm,09/27/2019 2:18pm,Howard University Hospital
Found Property,19-1131,09/27/2019 6:33pm,09/27/2019 6:33pm,Adams Building
Theft From Auto,19-1132,09/27/2019 8:53pm,09/27/2019 8:15pm,Greene Stadium Lot
Found Property,19-1133,09/28/2019 4:45pm,09/28/2019 4:45pm,Main Gate
Fire Alarm Activation,19-1134,09/28/2019 8:21pm,09/28/2019 8:21pm,Bethune Annex
Student Misconduct,19-1135,09/28/2019 9:43pm,09/28/2019 9:43pm,Cook Hall
Verbal Dispute,19-1136,09/29/2019 4:25pm,09/29/2019 4:25pm,HURB 1
Fire Alarm Activation,19-1137,09/29/2019 6:49pm,09/29/2019 6:15pm,Howard University Hospital
Sick Person,19-1138,09/30/2019 2:25am,09/30/2019 2:25am,Howard Plaza Towers East
Fire Alarm Activation,19-1139,09/30/2019 8:11am,09/30/2019 8:11am,Quadrangle
Fire Alarm Activation,19-1140,09/30/2019 3:03pm,09/30/2019 3:03pm,Howard Plaza Towers East
Attempt Theft,19-1141,09/30/2019 4:40pm,09/30/2019 4:35pm,Bookstore
Simple Assault,19-1142,09/30/2019 6:39pm,09/30/2019 2:20pm,College Hall South
Hazardous Odor,19-1143,10/01/2019 6:38pm,10/01/2019 6:38pm,Subway Restaurant
Destruction of Property,19-1144,10/01/2019 4:26pm,09/28/2019 7:30am,Howard Plaza Towers West
Theft 2,19-1145,10/01/2019 5:35pm,10/01/2019 5:35pm,Burr Gym
Fire Alarm Activation,19-1146,10/01/2019 7:45pm,10/01/2019 7:45pm,Wheatley Hall
Fire Alarm Activation,19-1147,10/01/2019 7:09pm,10/01/2019 7:09pm,Bethune Annex
Sick Person,19-1148,10/01/2019 8:01pm,10/01/2019 8:01pm,Bethune Annex
Theft 2,19-1149,10/02/2019 10:08am,10/02/2019 9:49am,Howard University Hospital
Damaged Property,19-1150,10/02/2019 3:27pm,10/02/2019 3:27pm,Howard University Hospital
Indecent Exposure,19-1151,10/02/2019 4:50pm,10/02/2019 4:50pm,Howard University Hospital
Vehicle Accident,19-1152,10/02/2019 6:50pm,10/02/2019 6:50pm,500 Block College Street
Injured Person,19-1153,10/02/2019 9:15am,10/02/2019 8:50am,Mudd Building
Injured Person,19-1154,10/03/2019 11:08am,10/03/2019 11:08am,Bethune Annex
Fire Alarm Activation,19-1155,10/03/2019 12:12pm,10/03/2019 12:12pm,Howard Plaza Towers West
Threats,19-1156,10/03/2019 3:57pm,10/03/2019 3:57pm,Admin. Lot
Vehicle Accident,19-1157,10/03/2019 6:12pm,10/03/2019 5:30pm,8th & Barry Place
Destruction of Property,19-1158,10/04/2019 12:43am,10/03/2019 10:30pm,Howard Plaza Towers East
Unlawful Entry,19-1159,10/04/2019 2:05am,10/04/2019 2:05am,C B Powell Building
Theft From Auto,19-1160,10/04/2019 12:55pm,10/04/2019 6:00am,Howard University Hospital
Threats to do Bodily Harm,19-1161,10/04/2019 1:07pm,10/30/2019 11:00pm,Howard Plaza Towers East
Hazardous Elevator,19-1162,10/04/2019 10:23pm,10/04/2019 10:23pm,Drew Hall
Unlawful Entry,19-1163,10/05/2019 4:03am,10/05/2019 4:03am,Howard Plaza Towers East
Theft 2,19-1164,10/05/2019 1:53pm,10/05/2019 10:00am,Howard Plaza Towers West
Fire Alarm Activation,19-1165,10/05/2019 2:09pm,10/05/2019 2:09pm,Howard Plaza Towers East
Lost Property,19-1166,10/05/2019 7:32pm,10/01/2019 12:00pm,Howard University Hospital
Fire Alarm Activation,19-1167,10/06/2019 4:21am,10/06/2019 4:21am,Bethune Annex
Miscellaneous,19-1168,10/06/2019 9:11am,10/05/2019 9:45am,East Towers Parking Lot
Damaged Property,19-1169,10/07/2019 14:47pm,10/02/2019 12:00pm,Banneker South Parking Lot
Student Misconduct,19-1170,10/07/2019 5:24pm,10/07/2019 5:24pm,Founders Library
Harassment,19-1171,10/08/2019 10:46am,9/13/2019 12:00pm,Howard Plaza Towers East
Found Property,19-1172,10/08/2019 4:30pm,10/08/2019 4:30pm,Blackburn Center
Threats to do Bodily Harm,19-1173,10/08/2019 6:40pm,10/04/2019 11:30pm,Howard Plaza Towers East
Fire Alarm Activation,19-1174,10/08/2019 9:08pm,10/08/2019 9:08pm,Truth Hall
Sick Person,19-1175,10/08/2019 9:53pm,10/08/2019 9:53pm,College Hall South
Disorderly Conduct,19-1176,10/09/2019 7:16am,10/09/2019 7:16am,Howard University Hospital
Damaged Property,19-1177,10/09/2019 8:18am,10/09/2019 7:00am,East Towers Parking Lot
Theft From Auto,19-1178,10/09/2019 1:30pm,10/09/2019 1:30pm,East Towers Parking Lot
Destruction of Property,19-1179,10/09/2019 2:32pm,10/09/2019 1:35pm,Banneker South Parking Lot
Hazardous Elevator,19-1180,10/09/2019 6:44pm,10/09/2019 6:44pm,Howard Plaza Towers West
Fire Alarm Activation,19-1181,10/09/2019 11:59pm,10/09/2019 11:59pm,Howard Plaza Towers East
Fire Alarm Activation,19-1182,10/10/2019 9:31am,10/10/2019 9:14am,Howard University Hospital
Robbery Snatch,19-1183,10/10/2019 2:47pm,10/10/2019 2:47pm,Stokes Library
Fire Alarm Activation,19-1184,10/10/2019 3:50pm,10/10/2019 3:50pm,College of Dentistry
Damaged Property,19-1185,10/10/2019 4:44pm,10/10/2019 4:30pm,Mackey Lot
Fraud,19-1186,10/10/2019 5:17pm,10/10/2019 1:00pm,Howard Plaza Towers East
Panhandling,19-1187,10/10/2019 6:53pm,10/10/2019 6:53pm,Wonder Plaza
Miscellaneous,19-1188,10/10/2019 8:00pm,10/10/2019 8:00pm,Howard University Hospital
ADW/Gun,19-1189,10/11/2019 1:22am,10/11/2019 1:22am,Off Campus
Injured Person,19-1190,10/11/2019 2:56am,10/11/2019 2:56am,Howard Plaza Towers West
Sick Person,19-1191,10/11/2019 4:17am,10/11/2019 3:01am,Howard Plaza Towers West
Sick Person,19-1192,10/11/2019 5:31am,10/11/2019 5:31am,Quadrangle
Vehicle Accident,19-1193,10/11/2019 10:51am,10/11/2019 10:51am,2300 Block Georgia Ave. NW
Lost Property,19-1194,10/11/2019 1:51pm,10/11/2019 12:20pm,Stokes Library
Assault on a Police Officer,19-1195,10/11/2019 5:06pm,10/11/2019 4:44pm,Howard University Hospital
Simple Assault,19-1196,10/11/2019 5:53pm,10/11/2019 5:00pm,Main Yard
Theft From Auto,19-1197,10/11/2019 8:56pm,10/11/2019 8:25pm,Banneker South Parking Lot
Armed Robbery,19-1198,10/11/2019 8:33pm,10/11/2019 8:25pm,2700 Block 6th Street NW
Simple Assault,19-1199,10/12/2019 1:22am,10/12/2019 1:22am,College Hall North
Theft From Auto,19-1200,10/12/2019 2:10am,10/12/2019 2:10am,Georgia Avenue Lot
Student Misconduct,19-1201,10/12/2019 2:39am,10/12/2019 2:39am,Douglass Hall
Theft From Auto,19-1202,10/12/2019 3:40am,10/12/2019 3:40am,Banneker South Parking Lot
Theft From Auto,19-1203,10/12/2019 8:11am,10/12/2019 8:00am,East Towers Parking Lot
Fire Alarm Activation,19-1204,10/12/2019 2:47pm,10/12/2019 2:47pm,Frazier Hall
Injured Person,19-1205,10/12/2019 2:51pm,10/12/2019 2:51pm,Howard Center Lot
Theft From Auto,19-1206,10/12/2019 4:52pm,10/12/2019 4:45pm,Drew Hall
Theft From Auto,19-1207,10/12/2019 5:34pm,10/12/2019 5:34pm,Banneker South Parking Lot
Sick Person,19-1208,10/12/2019 6:27pm,10/12/2019 5:44pm,Howard University Hospital
Hazardous Elevator,19-1209,10/12/2019 6:08pm,10/12/2019 6:08pm,College Hall South
Credit Card Fraud,19-1210,10/12/2019 2:27pm,10/12/20191:30am,Off Campus
Sick Person,19-1211,10/12/2019 6:10pm,10/12/2019 6:10pm,College Hall North
Theft From Auto,19-1212,10/12/2019 7:39pm,10/12/2019 5:38pm,A-2 Garage
Theft From Auto,19-1213,10/12/2019 10:04pm,10/12/2019 9:45pm,2500 Block 5th Street
Student Misconduct,19-1214,10/12/2019 11:55pm,10/12/2019 11:55pm,Cook Hall
Sick Person,19-1215,10/13/2019 1:45am,10/13/2019 1:45am,College Hall South
Hazardous Elevator,19-1216,10/13/2019 4:03am,10/13/2019 3:44am,Howard University Hospital
Theft From Auto,19-1217,10/13/2019 7:35am,10/13/2019 6:50am,East Towers Parking Lot
Injured Person,19-1218,10/13/2019 8:28am,10/11/2019 12:00pm,Main Yard
Miscellaneous,19-1219,10/13/2019 10:59am,10/13/2019 10:08am,Cramton Auditorium
Lost Property,19-1220,10/13/2019 3:19pm,10/12/2019 5:00pm,Main Yard
Damaged Property,19-1221,10/13/2019 11:28pm,10/13/2019 11:20pm,Howard Plaza Towers
Threats,19-1222,10/14/2019 1:12am,10/14/2019 1:12am,4th Street Gate
Simple Assault,19-1223,10/14/2019 7:30am,10/11/2019 5:30pm,Main Yard
Miscellaneous,19-1224,10/14/2019 11:37am,10/12/2019 1:30pm,Main Yard
Fire Alarm Activation,19-1225,10/14/2019 2:30pm,10/14/2019 2:30pm,Quadrangle
Sexual Assault,19-1226,10/14/2019 4:43pm,10/14/2019 7:30am,Howard Plaza Towers East
Fraud,19-1227,10/14/2019 7:25pm,"10/14/2019 2:25p,",Quadrangle
Fire Alarm Activation,19-1228,10/14/2019 8:35pm,10/14/2019 8:35pm,Howard Plaza Towers East
Hazardous Elevator,19-1229,10/15/2019 12:43pm,10/15/2019 12:43pm,C B Powell Building
Miscellaneous,19-1230,10/15/2019 2:27pm,10/13/2019 5:00pm,Howard Plaza Towers West
Hazardous Elevator,19-1231,10/15/2019 3:04pm,10/15/2019 7:40am,Howard University Hospital
Harassment,19-1232,10/15/2019 3:27pm,10/15/2019 3:27pm,College Hall South
