NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Fire Alarm Activation,16-1026,09-14-16/0029,09-14-16/0029,Quadrangle Hall,Inactive
Lost Property,16-1027,09-14-16/1101,09-14-16/1101,Service Center,Inactive
Fire Alarm Activation,16-1028,09-14-16/0913,09-14-16/0911,Cook Hall,Inactive
No Report,16-1029,,,,
Miscellaneous,16-1030,09-14-16/1356,09-14-16/1359,Lower Campus,Inactive
Missing Person,16-1031,09-14-16/1615,09-14-16/1529,College Hall South,Inactive
Hazardous Water Leak,16-1032,09-14-16/1810,09-14-16/1806,Social Work,Inactive
Fire Alarm Activation,16-1033,09-14-16/1930,09-14-16/1926,Quadrangle Hall,Inactive
Found Property,16-1034,09-14-16/1932,09-14-16/1810,Fine Arts Building,Inactive
Hazardous Water Leak,16-1035,09-14-16/1901,09-14-16/1846,School of Business,Inactive
Fire Alarm Activation,16-1036,09-15-16/0005,09-15-16/0005,Quadrangle Hall,Inactive
Fire Alarm Activation,16-1037,09-15-16/0550,09-15-16/0543,Quadrangle Hall,Inactive
Fire Alarm Activation,16-1038,09-15-16/0643,09-15-16/0643,Douglass Hall,Inactive
Fire Alarm Activation,16-1039,09-15-16/0850,09-15-16/0850,Douglass Hall,Inactive
Fire Alarm Activation,16-1040,09-15-16/0957,09-15-16/0956,Quadrangle Hall,Inactive
No Report,16-1041,,,,
Sick Person,16-1042,09-15-16/1624,09-15-16/1623,Blackburn Center,Inactive
Sick Person,16-1043,09-15-16/1809,09-15-16/1806,College Hall North,Inactive
Fire Alarm Activation,16-1044,09-15-16/2153,09-15-16/2153,College Hall South,Inactive
Simple Assault,16-1045,09-16-16/0305,09-16-16/0300,College Hall North,Active
Suspicious Odor,16-1046,09-16-16/0959,09-16-16/0959,Plaza Towers,Active
Lost Property,16-1047,09-16-16/1352,09-16-16/1350,Mudd Building,Inactive
Miscellaneous,16-1048,09-16-16/1545,09-16-16/1530,HURB-1,Inactive
Theft 2,16-1049,09-17-16/2205,09-17-16/2152,College Hall North,Active
Fire Alarm Activation,16-1050,09-18-16/1745,09-18-16/1745,Wonder Plaza,Inactive
Hazardous Water Leak,16-1051,09-19-16/0751,09-19-16/0751,HURB-1,Inactive
Disorderly,16-1052,09-19-16/1255,09-19-16/1245,HU Hospital,Active
Lost Property,16-1053,09-19-16/1558,09-19-16/1553,Admin. Bldg.,Inactive
Theft 2,16-1054,09-19-16/1726,09-19-16/1726,Architecture & Planning,Active
Sick Person,16-1055,09-19-16/1950,09-19-16/1945,College Hall South,Inactive
Fire Alarm Activation,16-1056,09-20-16/0008,09-20-16/0008,Cook Hall,Inactive
Sick Person,16-1057,09-20-16/0207,09-20-16/0045,HU Hospital,Inactive
Lost Property,16-1058,09-20-16/0745,09-20-16/0735,Unknown,Inactive
Vehicle Accident,16-1059,09-20-16/0800,09-20-16/0800,Middle School,Active
Fire Alarm Activation,16-1060,09-20-16/0850,09-20-16/0843,Douglass Hall,Inactive
Theft 2,16-1061,09-20-16/1130,09-20-16/0907,HU Hospital,Active
Threats,16-1062,09-20-16/1228,09-20-16/1133,HU Hospital,Active
Sick Person,16-1063,09-20-16/1613,09-20-16/1610,Student Health Clinic,Inactive
Vehicle Accident,16-1064,09-20-16/1829,09-20-16/1825,Lower Campus,Active
Suspicious Odor,16-1065,09-20-16/2124,09-20-16/2122,Slowe Hall,Active
Damaged Property,16-1066,09-21-16/1022,09-21-16/0958,Admin. Bldg.,Inactive
Verbal Dispute,16-1067,09-21-16/1113,09-21-16/1111,College Hall North,Active
Simple Assault,16-1068,09-21-16/1325,09-21-16/1321,Upper Campus,Active
Suspicious Package,16-1069,09-21-16/0834,09-21-16/0746,HU Hospital,Active
Theft 2,16-1070,09-21-16/1443,09-21-16/1443,HU Hospital,Active
Sick Person,16-1071,09-21-16/1617,09-21-16/1617,Student Health Clinic,Inactive
Sick Person,16-1072,09-21-16/1845,09-21-16/1659,College Hall South,Inactive
Sick Person,16-1073,09-21-16/2030,09-21-16/2015,Burr Gymnasium,Inactive
Fire Alarm Activation,16-1074,09-22-16/0051,09-22-16/0046,Cook Hall,Inactive
Fire Alarm Activation,16-1075,09-22-16/0930,09-22-16/0930,Cook Hall,Inactive
Miscellaneous,16-1076,09-22-16/1107,09-22-16/1015,Drew Hall,Inactive
Vehicle Accident,16-1077,09-22-16/1143,09-22-16/1132,Lower Campus,Active
Bomb Threat,16-1078,09-22-16/1223,09-22-16/1210,Middle School,Active
Sick Person,16-1079,09-22-16/1609,09-22-16/1606,Quadrangle Hall,Inactive
Harassment,16-1080,09-22-16/2053,09-22-16/2053,School Of  Business,Active
Armed Robbery,16-1081,09-22-16/2101,09-22-16/2101,College Hall South,Active
Hit & Run,16-1082,09-22-16/2213,09-22-16/2220,600 Blk of Bryant St NW,Active
Fire Alarm Activation,16-1083,09-23-16/0002,09-23-16/0001,Cook Hall,Inactive
Loud  Noise,16-1084,09-23-16/0011,09-23-16/0011,Valley,Active
Injured Person,16-1085,09-24-16/1135,09-24-16/1000,College Of Denistry,Active
No Report,16-1086,,,,
Fire,16-1087,09-25-16/0630,09-25-16/0627,Cook Hall,Active
Sick Transport,16-1088,09-25-16/1113,09-25-16/1111,College Hall South,Inactive
Sick Transport,16-1089,09-25-16/1258,09-25-16/1258,Quadrangle Hall,Inactive
Fire Alarm Activation,16-1090,09-25-16/2116,09-25-16/2116,Cook Hall,Inactive
Unlawful Entry,16-1091,09-25-16/2303,09-25-16/2235,Plaza Towers,Active
Fire Alarm Activation,16-1092,09-26-16/1120,09-26-16/1113,Drew Hall,Inactive
Student Misconduct,16-1093,09-26-16/1142,09-26-16/1142,Howard Center,Active
Simple Assault,16-1094,09-26-16/1200,09-26-16/1200,College of Denistry,Active
Sick Transport,16-1095,09-26-16/1750,09-26-16/1745,Bethune Hall,Inactive
Theft From Auto,16-1096,09-26-16/2116,09-26-16/1759,Off Campus,Inactive
Fire Alarm Activation,16-1097,09-26-16/2325,09-26-16/2315,Cook Hall,Inactive
Theft 2,16-1098,09-27-16/1214,09-27-16/1022,HU Hospital,Active
Fire Alarm Activation,16-1099,09-27-16/1236,09-27-16/1235,Cook Hall,Inactive
Lost Property,16-1100,09-27-16/1415,09-27-16/1400,Unknown,Inactive
Lost Property,16-1101,09-27-16/1617,09-27-16/1614,Chemistry Building,Inactive
Lost Property,16-1102,09-27-16/1705,09-27-16/1701,Engineering Building,Inactive
Fire Alarm Activation,16-1103,09-28-16/0952,09-28-16/0952,Cook Hall,Inactive
Fire Alarm Activation,16-1104,09-28-16/1007,09-28-16/1001,Mudd Building,Inactive
Damaged Property,16-1105,09-28-16/1220,09-28-16/1217,College of Denistry,Inactive
Unlawful Entry,16-1106,09-28-16/1120,09-28-16/1115,Chemistry Building,Active
Sick Transport,16-1107,09-28-16/1230,09-28-16/1230,Quadrangle Hall,Inactive
Destruction of Property,16-1108,09-28-16/1320,09-28-16/1318,College Hall South,Active
Theft From Auto,16-1109,09-28-16/1800,09-28-16/1749,Childers Lot,Active
Theft From Auto,16-1110,09-28-16/1712,09-28-16/1430,Lower Campus,Active
Threats,16-1111,09-29-16/0034,09-29-16/0024,Plaza Towers,Active
Fire Alarm Activation,16-1112,09-29-16/0103,09-29-16/0049,Blackburn Center,Inactive
Fire Alarm Activation,16-1113,09-29-16/0130,09-29-16/0130,Cook Hall,Inactive
Fire Alarm Activation,16-1114,09-29-16/0941,09-29-16/0940,Cook Hall,Inactive
Found Property,16-1115,09-29-16/1437,09-29-16/1437,College of Denistry,Inactive
Unlawful Entry,16-1116,09-29-16/2143,09-29-16/1607,HU Hospital,Active
Destruction of Property,16-1117,09-30-16/0158,09-30-16/0133,College Hall North,Active
Student Misconduct,16-1118,09-30-16/1240,09-30-16/1240,Plaza Towers,Active
Threats,16-1119,09-30-16/1409,09-30-16/0910,Howard Center,Active
Theft From Auto,16-1120,09-30-16/1355,09-30-16/1338,Johnson Lot,Active
Theft From Auto,16-1121,09-30-16/1440,09-30-16/1435,Greene Stadium,Active
Damaged Property,16-1122,09-30-16/1453,09-30-16/1453,Bethune Hall,Inactive
Assault on a Police Officer,16-1123,09-30-16/2244,09-30-16/2037,HU Hospital,Active
Vehicle Accident,16-1124,10-01-16/0155,10-01-16/0155,Quadrangle Hall,Active
Vehicle Accident,16-1125,10-01-16/0245,10-01-16/0242,Lower Campus,Active
Fire Alarm Activation,16-1126,10-01-16/0810,10-01-16/0809,Bethune Hall,Inactive
No Report,16-1127,,,,
Lost Property,16-1128,10-01-16/1740,10-01-16/1737,Bethune Hall,Inactive
Sick Person,16-1129,10-01-16/0203,10-01-16/0120,HU Hospital,Inactive
Sick Person,16-1130,10-01-16/0237,10-01-16/0237,HU Hospital,Inactive
Injured Person,16-1131,10-02-16/0305,10-02-16/0305,HU Hospital,Active
Fire Alarm Activation,16-1132,10-02-16/0251,10-02-16/0257,West Campus,Inactive
Injured Person,16-1133,10-02-16/0056,10-02-16/0056,Slowe Hall,Active
Lost Property,16-1134,10-02-16/1132,10-02-16/1119,Wonder Plaza,Inactive
Fire Alarm Activation,16-1135,10-02-16/1908,10-02-16/1908,College Hall North,Inactive
Sick Transport,16-1136,10-02-16/1948,10-02-16/1948,Stokes Library,Inactive
Sick Person,16-1137,10-03-16/0258,10-03-16/0244,College Hall North,Inactive
Sick Person,16-1138,10-03-16/0444,10-03-16/0245,HU Hospital,Inactive
Hazard Elevator,16-1139,10-03-16/1138,10-03-16/1136,Plaza Towers,Inactive
Vandalism,16-1140,10-03-16/1553,10-03-16/1500,Chemistry Building,Active
Fire,16-1141,10-03-16/1602,10-03-16/1600,Slowe Hall,Active
Fire Alarm Activation,16-1142,10-03-16/1642,10-03-16/1642,Cook Hall,Inactive
Damaged Property,16-1143,10-03-16/1724,10-03-16/1724,Drew Hall,Inactive
Fire Alarm Activation,16-1144,10-03-16/2108,10-03-16/2108,Cook Hall,Inactive
Burglary 2,16-1145,10-03-16/2358,10-03-16/2352,Quadrangle Hall,Active
Fire Alarm Activation,16-1146,10-04-16/0622,10-04-16/0622,Cook Hall,Inactive
Fire Alarm Activation,16-1147,10-04-16/0849,10-04-16/0848,Cook Hall,Inactive
Threats,16-1148,10-04-16/1229,10-04-16/1229,Bethune Hall,Active
Miscellaneous,16-1149,10-04-16/1430,10-04-16/1401,Academic Support A,Inactive
Hit & Run,16-1150,10-04-16/1416,10-04-16/1245,Cook Hall,Active
Theft From Auto,16-1151,10-04-16/1550,10-04-16/1524,Miner Lot,Active
Sick Person,16-1152,10-04-16/1635,10-04-16/1631,Plaza Towers,I(
Sick Person,16-1153,10-05-16/0639,10-05-16/0630,HU Hospital,Inactive
Damaged Property,16-1154,10-05-16/0825,10-05-16/0801,C. B. Powell Lot,Inactive
Fire Alarm Activation,16-1155,10-05-16/0948,10-05-16/0943,Cook Hall,Inactive
Suspicious Odor/Student Misconduct,16-1156,10-05-16/1224,10-05-16/1223,Cook Hall,Active
Student Misconduct,16-1157,10-05-16/1410,10-05-16/1410,Cook Hall,Active
Theft From Auto,16-1158,10-05-16/1557,10-05-16/1523,600 blk of Girard,Active
Fire Alarm Activation,16-1159,10-05-16/1700,10-05-16/1700,Cook Hall,Inactive
Damaged Property,16-1160,10-05-16/1710,10-05-16/1706,500 blk of College,Inactive
Lost Property,16-1161,10-05-16/1756,10-05-16/1752,College of Denistry,Inactive
Lost Property,16-1162,10-06-16/1113,10-06-16/1110,Service Center,Inactive
Lost Property,16-1163,10-06-16/1315,10-06-16/1303,Service Center,Inactive
Miscellaneous,16-1164,10-06-16/1313,10-06-16/1310,Quadrangle Hall,Inactive
Vehicle Accident,16-1165,10-06-16/1731,10-06-16/1730,Annex 2,Active
Miscellaneous,16-1166,10-06-16/1726,10-06-16/1710,College Hall North,Inactive
Damaged Property,16-1167,10-06-16/2138,10-06-16/2111,HU Hospital,Inactive
Sick Person,16-1168,10-06-16/2111,10-06-16/2111,Drew Hall,Inactive
Suspicious Odor,16-1169,10-06-16/2330,10-06-16/2330,Cook Hall,Active
Suspicious Odor,16-1170,10-07-16/0109,10-07-16/0109,Slowe Hall,Inactive
Sick Person,16-1171,10-07-16/0355,10-07-16/0335,College Hall South,Inactive
Found Property,16-1172,10-07-16/0231,10-07-16/0205,Drew Hall,Inactive
Fire Alarm Activation,16-1173,10-07-16/0830,10-07-16/0826,Plaza Towers,Inactive
Sick Transport,16-1174,10-07-16/0855,10-07-16/0855,Cook Hall,Inactive
Injured Person,16-1175,10-07-16/1252,10-07-16/1240,2251 Sherman Ave. NW,Active
Fire Alarm Activation,16-1176,10-07-16/1737,10-07-16/1736,College Hall North,Inactive
Sick Person,16-1177,10-07-16/1946,10-07-16/1946,Bethune Hall,Inactive
Fire Alarm Activation,16-1178,10-07-16/2303,10-07-16/2303,Bethune Hall,Inactive
Lost Property,16-1179,10-08-16/1510,10-08-16/1504,Bethune Hall,Inactive
Fire Alarm Activation,16-1180,10-08-16/2133,10-08-16/2133,College Hall South,Inactive
Fire Alarm Activation,16-1181,10-08-16/2135,10-08-16/2132,Cook Hall,Inactive
Sick Person,16-1182,10-09-16/0451,10-09-16/0430,HU Hospital,Inactive
Sick Person,16-1183,10-09-16/0454,10-09-16/0430,HU Hospital,Inactive
Lost Property,16-1184,10-09-16/1131,10-09-16/1125,Main Yard,Inactive
No Report,16-1185,,,,
Fire Alarm Activation,16-1186,10-09-16/1633,10-09-16/1633,Cook Hall,Inactive
Theft From Auto,16-1187,10-09-16/2150,10-09-16/2150,Drew Hall,Active
Injured Person,16-1188,10-10-16/0430,10-10-16/0430,HU Hospital,Active
Injured Person,16-1189,10-10-16/0522,10-10-16/0522,HU Hospital,Active
Injured Person,16-1190,10-10-16/0522,10-10-16/0522,HU Hospital,Active
Injured Person,16-1191,10-10-16/0803,10-10-16/0745,HUSC,Active
Unlawful Entry,16-1192,10-10-16/1320,10-10-16/0428,HU Hospital,Active
Assault on a Police Officer,16-1193,10-10-16/2031,10-10-16/1754,HU Hospital,Active
Theft 2,16-1194,10-10-16/1842,10-10-16/1836,College Hall South,Active
Fire Alarm Activation,16-1195,10-10-16/2022,10-10-16/2022,Cook Hall,Inactive
No Report,16-1196,,,,
Fire Alarm Activation,16-1197,10-11-16/1019,10-11-16/1019,Cook Hall,Inactive
Harassment,16-1198,10-11-16/1339,10-11-16/1339,Off Campus,Active
Damaged Property,16-1199,10-11-16/1601,10-11-16/1600,Douglass Hall,Inactive
Vehicle Accident,16-1200,10-11-16/1645,10-11-16/1626,C.B. Powell Building,Active
Unlawful Entry,16-1201,10-11-16/1650,10-11-16/1650,Fine Arts Building,Active
Unlawful Entry,16-1202,10-12-16/0138,10-12-16/0130,Slowe Hall,Active
Student Misconduct,16-1203,10-12-16/0229,10-12-16/0136,Slowe Hall,Active
Fire Alarm Activation,16-1204,10-12-16/0734,10-12-16/0734,Technology Building,Inactive
Fire Alarm Activation,16-1205,10-12-16/1052,10-12-16/1053,Cook Hall,Inactive
Fire Alarm Activation,16-1206,10-12-16/1552,10-12-16/1542,Cook Hall,Inactive
Injured Person,16-1207,10-12-16/2040,10-12-16/2040,Quadrangle Hall,Active
Found Property,16-1208,10-12-16/2202,10-12-16/2200,Douglass Hall,Inactive
Found Property,16-1209,10-12-16/2313,10-12-16/2215,Douglass Hall,Inactive
Student Misconduct,16-1210,10-13-16/0103,10-13-16/0053,Bethune Hall,Active
Theft From Auto,16-1211,10-13-16/0059,10-13-16/0058,Plaza Towers,Active
Simple Assault/Domestic Violence,16-1212,10-13-16/0200,10-13-16/0230,Slowe Hall,Active
Sick Transport,16-1213,10-13-16/0510,10-13-16/0500,Bethune Hall,Inactive
Sick Transport,16-1214,10-13-16/1200,10-13-16/1200,Locke Hall,Inactive
Theft From Auto,16-1215,10-13-16/1242,10-13-16/1242,Douglass Hall,Active
Miscellaneous,16-1216,10-13-16/1425,10-13-16/1425,College Hall South,Inactive
Student Misconduct,16-1217,10-13-16/1535,10-13-16/1535,Cook Hall,Active
Injured Person,16-1218,10-13-16/2136,10-13-16/2126,2200 blk of 4th St. NW,Active
Miscellaneous,16-1219,10-13-16/2300,10-13-16/2259,2200 4th St NW,Inactive
Harrassment,16-1220,10-14-16/1259,10-14-16/1011,Fine Arts Building,Active
Student Misconduct,16-1221,10-14-16/1357,10-14-16/1353,Bethune Hall,Active
Student Misconduct,16-1222,10-14-16/1440,10-14-16/1436,College Hall South,Active
Theft From Auto,16-1223,10-14-16/1745,10-14-16/1741,Lower Campus,Active
Theft From Auto,16-1224,10-14-16/1908,10-14-16/1908,Upper Campus,Active
Sick Person,16-1225,10-14-16/2243,10-14-16/1045,Off Campus,Inactive
Loud  Noise,16-1226,10-15-16/0009,10-15-16/0008,39 Bryant St NW,Active
Fire Alarm Activation,16-1227,10-15-16/0157,10-15-16/0156,Cook Hall,Inactive
Simple Assault,16-1228,10-15-16/1344,10-15-16/1344,Main Gate,Active
Fire Alarm Activation,16-1229,10-15-16/1922,10-15-16/1922,Cook Hall,Inactive
Found Property,16-1230,10-15-16/2033,10-15-16/2033,Founders Library,Inactive
Fire Alarm Activation,16-1231,10-15-16/2254,10-15-16/2254,Plaza Towers,Inactive
Vehicle Accident,16-1232,10-16-16/1307,10-16-16/1307,700 blk of 8th St NW,Active
Fire Alarm Activation,16-1233,10-16-16/1402,10-16-16/1402,Cook Hall,Inactive
Theft From Auto,16-1234,10-16-16/1542,10-16-16/1542,GA. AVE Lot,Active
Damaged Property,16-1235,10-16-16/2030,10-16-16/1958,Social Work,Inactive
Sick Person,16-1236,10-17-16/0639,10-17-16/0637,Drew Hall,Inactive
Sick Person,16-1237,10-17-16/0805,10-17-16/0802,Bethune Hall,Inactive
Harassment,16-1238,10-17-16/1143,10-17-16/1143,Fine Arts Building,Active
Suspicious Package,16-1239,10-17-16/1507,10-17-16/1458,Slowe Hall,Active
Attempt Robbery,16-1240,10-17-16/1943,10-17-16/1945,Founders Library,Active
Damaged Property,16-1241,10-18-16/0812,10-18-16/0812,Locke Hall,Inactive
Sick Transport,16-1242,10-18-16/1324,10-18-16/1324,Quadrangle Hall,Inactive
Injured Person,16-1243,10-18-16/1819,10-18-16/1515,Service Center,Active
Sick Person,16-1244,10-18-16/1652,10-18-16/1854,College Hall North,Inactive
Fire Alarm Activation,16-1245,10-18-16/2010,10-18-16/1946,Plaza Towers,Inactive
Robbery Snatch,16-1246,10-18-16/2225,10-18-16/2151,Upper Campus,Active
Vehicle Accident,16-1247,10-18-16/2336,10-18-16/2324,Lower Campus,Active
Miscellaneous,16-1248,10-19-16/1145,10-19-16/1144,College Hall South,Inactive
Damaged Property,16-1249,10-19-16/1020,10-19-16/1013,Service Center,Inactive
Sick Transport,16-1250,10-19-16/1359,10-19-16/1359,Cramton Auditorium,Inactive
Robbery Snatch,16-1251,10-19-16/1449,10-19-16/1448,Off Campus,Active
Injured Person,16-1252,10-19-16/2045,10-19-16/2015,A-2 Garage Lot,Active
Fire Alarm Activation,16-1253,10-20-16/0229,10-20-16/0218,A-2 Garage Lot,Inactive
Fire Alarm Activation,16-1254,10-20-16/0240,10-20-16/0226,HU Hospital,Active
Fire Alarm Activation,16-1255,10-20-16/0805,10-20-16/0803,College Hall South,Inactive
Fire Alarm Activation,16-1256,10-20-16/1023,10-20-16/1023,College Hall North,Inactive
Miscellaneous,16-1257,10-20-16/1120,10-20-16/1109,Cramton Auditorium,Inactive
Student Misconduct,16-1258,10-20-16/1236,10-20-16/1236,Greene Stadium,
Unlawful Entry,16-1259,10-20-16/1353,10-20-16/1236,Greene Stadium,
Damaged Property,16-1260,10-20-16/1409,10-20-16/1411,Wonder Plaza,
Miscellaneous,16-1261,10-20-16/1629,10-20-16/1631,Greene Stadium,
Student Misconduct,16-1262,10-20-16/2128,10-20-16/2130,Cramton Auditorium,
Student Misconduct,16-1263,10-20-16/2131,10-20-16/2133,Cramton Auditorium,
No Report,16-1264,10-20-16/,10-20-16/,,
Lost Property,16-1265,10-20-16/2308,10-20-16/2310,Drew Hall,
Threats,16-1266,10-20-16/2331,10-20-16/2333,Slowe Hall,
Sick Person,16-1267,10-20-16/0229,10-20-16/0231,College Hall South,
Simple Assault /Domestic Violence,16-1268,10-21-16/0415,10-21-16/0417,College Hall South,
Damaged Property,16-1269,10-21-16/1031,10-21-16/1033,Service Center,
Injured Person,16-1270,10-21-16/1647,10-21-16/1649,Main YARD,
Sick Person,16-1271,10-21-16/1901,10-21-16/1903,College Hall South,
Student Misconduct,16-1272,10-21-16/1945,10-21-16/1947,Slowe Hall,
Fire Alarm Activation,16-1273,10-21-16/1730,10-21-16/1732,Bethune Hall,
No Report,16-1274,10-21-16/,10-21-16/,,
Sick Person,16-1275,10-21-16/1932,10-21-16/1934,Middle School,
No Report,16-1276,10-21-16/,10-21-16/,,
Fire Alarm Activation,16-1277,10-21-16/2214,10-21-16/,Student Health Clinic,Inactive
Injured Person,16-1278,10-21-16/2324,10-21-16/,Plaza Towers,Active
Sick Person,16-1279,10-21-16/0111,10-21-16/,College Hall North,Inactive
Found Property,16-1280,10-22-16/0301,10-22-16/,Main Yard,Inactive
Injured Person,16-1281,10-22-16/1119,10-22-16/,Locke Hall,Inactive
Fire Alarm Activation,16-1282,10-22-16/1342,10-22-16/,Cook Hall,Inactive
Miscellaneous,16-1283,10-22-16/2207,10-22-16/,College Hall South,Inactive
No Report,16-1284,10-22-16/,10-22-16/,,
Miscellaneous,16-1285,10-22-16/2207,10-22-16/,College Hall South,Inactive
No Report,16-1286,10-22-16/,10-20-16/,,
No Report,16-1287,10-20-16/,10-20-16/,,
No Report,16-1288,10-20-16/,10-20-16/,,
Hazardous  Elevator,16-1289,10-23-16/1114,10-23-16/1115,Plaza Towers,Inactive
Stolen Auto,16-1290,10-23-16/2354,10-23-16/2300,Off Campus,Inactive
Sick Person,16-1291,10-24-16/1107,10-24-16/1107,Mental Health Clinic,Inactive
Student Misconduct,16-1292,10-24-16/1140,10-24-16/1140,Mental Health Clinic,Active
No Report,16-1293,10-24-16/1212,10-24-16/1212,Plaza Towers,
No Report,16-1294,10-24-16/,10-24-16/,,
Theft From Auto,16-1295,10-24-16/1641,10-24-16/1641,2200 blk of 6th St NW,Active
Damaged Property,16-1296,10-24-16/1720,10-24-16/1725,Student Health Clinic,Active
Theft From Auto,16-1297,10-24-16/1754,10-24-16/1757,Greene Stadium,Active
Theft From Auto,16-1298,10-24-16/,10-24-16/,6th & Girard,Active
Found Property,16-1299,10-24-16/1812,10-24-16/1810,Physic Bldg.,Inactive
Student Misconduct,16-1300,10-24-16/2128,10-24-16/2125,Plaza Towers,Active
Student Misconduct,16-1301,10-24-16/2255,10-24-16/2230,Cook Hall,Active
Theft 2,16-1302,10-24-16/2228,10-24-16/2225,Cook Hall,Active
No Report,16-1303,,,,
No Report,16-1304,,,,
Theft 1,16-1305,10-25-16/1630,10-25-16/1627,Howard Center,Active
No Report,16-1306,,,,
Miscellaneous,16-1307,10-25-16/1814,10-25-16/1820,HU Hospital,Inactive
Damaged Property,16-1308,10-26-16/0226,10-26-16/0228,Service Center,Inactive
Fire Alarm Activation,16-1309,10-26-16/0930,10-26-16/0929,Cook Hall,Inactive
Fire Alarm Activation,16-1310,10-26-16/1010,10-26-16/1006,Student Health Clinic,Inactive
Destruction of Property,16-1311,10-26-16/1032,10-26-16/1032,Student Health Clinic,Active
Theft 2,16-1312,10-26-16/1121,10-26-16/1121,HU Hospital,Active
Theft From Auto,16-1313,10-26-16/1638,10-26-16/1638,500 blk Gresham,Active
Fire Alarm Activation,16-1314,10-26-16/1715,10-26-16/1715,Student Health Clinic,Inactive
Injured Person,16-1315,10-26-16/2142,10-26-16/2125,Burr Gym,Active
Damaged Property,16-1316,10-27-16/0038,10-27-16/0630,A-1 Garage,Inactive
Theft 2,16-1317,10-27-16/0652,10-27-16/0654,Howard Pl. NW,Active
Theft 2,16-1318,10-27-16/1310,10-27-16/1245,HU Hospital,Active
Lost Property,16-1319,10-27-16/1411,10-27-16/1410,Stoke Library,Inactive
Damaged Property,16-1320,10-28-16/1128,10-28-16/1128,International Lot,Inactive
Theft 2,16-1321,10-28-16/1404,10-28-16/1406,HU Hospital,Active
Damaged Property,16-1322,10-28-16/1615,10-28-16/1615,Wonder Plaza,Inactive
Miscellaneous,16-1323,10-28-16/1744,10-28-16/1744,6th St. NW,Inactive
Miscellaneous,16-1324,10-28-16/2050,10-28-16/2048,College Hall North,Inactive
Theft From Auto,16-1325,10-28-16/2106,10-28-16/2107,Greene Stadium,Active
Stolen Auto,16-1326,10-28-16/1959,10-28-16/1959,5th W Lot,Active
Damaged Property,16-1327,10-29-16/1531,10-29-16/1531,Greene Stadium,Inactive
Miscellaneous,16-1328,10-29-16/2016,10-29-16/1840,HU Hospital,Inactive
No Report,16-1329,,,,
Miscellaneous,16-1330,10-30-16/1421,10-30-16/1422,Bethune Hall,Inactive
Destruction of Property,16-1331,10-30-16/1720,10-30-16/1600,Greene Stadium,Active
Unlawful Entry,16-1332,10-30-16/1931,10-30-16/1931,Drew Hall,Active
Miscellaneous,16-1333,10-31-16/0032,10-31-16/0032,HU Hospital,Inactive
Hazardous Elevator,16-1334,10-31-16/1112,10-31-16/1112,Annex 1,Inactive
Theft From Auto,16-1335,10-31-16/1156,10-31-16/1156,2200 blk of 8 St NW,Active
Fire Alarm Activation,16-1336,10-31-16/1327,10-31-16/1330,Cook Hall,Inactive
Extortion,16-1337,10-31-16/1457,10-31-16/1418,Business Lot,Active
Theft From Auto,16-1338,10-31-16/1551,10-31-16/1559,4th & College St NW,Active
Fire Alarm Activation,16-1339,10-31-16/1833,10-31-16/1833,Wonder Plaza,Inactive
Disorderly,16-1340,11-01-16/0834,11-01-16/0836,Founder Library,Active
Found Property,16-1341,11-01-16/0916,11-01-16/0926,College Hall South,Inactive
Vehicle Accident,16-1342,11-01-16/1425,11-01-16/1425,Main Gate,Active
Injured Person,16-1343,11-01-16/2009,11-01-16/1550,HU Hospital,Active
Sick Person,16-1344,11-01-16/0118,11-01-16/0103,HU Hospital,Inactive
Found Property,16-1345,11-01-16/0855,11-01-16/0855,I-Lab,Inactive
Fire Alarm Activation,16-1346,11-02-16/1305,11-02-16/1305,Cook Hall,Inactive
Injured Person,16-1347,11-02-16/1417,11-02-16/1417,Off Campus,Active
Theft From Auto,16-1348,11-02-16/1406,11-02-16/1415,400 College St. NW,Active
Theft From Auto,16-1349,11-02-16/1424,11-02-16/1424,5th & W St NW,Active
Injured Person,16-1350,11-02-16/1613,11-02-16/1335,HU Hospital,Active
Damaged Property,16-1351,11-02-16/1724,11-02-16/1716,West Campus,Inactive
Vehicle Accident,16-1352,11-02-16/2115,11-02-16/2109,Quadrangle Hall,Active
Sick Person,16-1353,11-03-16/0057,11-03-16/0038,Quadrangle Hall,Inactive
Fire Alarm Activation,16-1354,11-03-16/0119,11-03-16/0117,College Hall South,Inactive
Damaged Property,16-1355,11-03-16/0850,11-03-16/0845,HUSC/Garage,Inactive
Lost Property,16-1356,11-03-16/1055,11-03-16/1051,Dental School,Inactive
Fire Alarm Activation,16-1357,11-03-16/1053,11-03-16/1052,College Hall South,Inactive
Vehicle Accident,16-1358,11-03-16/1144,11-03-16/0911,West Campus,Active
Attempt Suicide,16-1359,11-03-16/1245,11-03-16/1245,Bethune Hall,Active
Student Misconduct,16-1360,11-03-16/1250,11-03-16/1248,Admin. Bldg.,Active
Theft 2,16-1361,11-03-16/1525,11-03-16/1516,Cook Hall,Active
Theft 2,16-1362,11-03-16/1515,11-03-16/1515,Plaza Towers,Active
Fire Alarm Activation,16-1363,11-03-16/2015,11-03-16/1819,Burr Gym,Inactive
Elope Patient,16-1364,11-03-16/2019,11-03-16/1515,HU Hospital,Inactive
