natures_of_crimes,case_numbers,date_reported,time_reported,date_occurred,time_occurred,general_location,disposition,year_reported,year_occured
Lost Property,18-0052,2001-09-18,9:54pm,2001-09-18,9:50am,College Hall North,NA,2001,2001
Hazardous Water Leak,18-0053,2001-09-18,9:07am,2001-09-18,9:07am,Academic A,NA,2001,2001
Hazardous Water Leak,18-0054,2001-09-18,10:14am,2001-09-18,10:14am,Rankin Chapel,NA,2001,2001
Fire Alarm Activation,18-0055,2001-09-18,9:13am,2001-09-18,9:13am,Chemistry Building,NA,2001,2001
Hazardous Water Leak,18-0056,2001-09-18,11:03am,2001-09-18,11:03am,Stokes Library,NA,2001,2001
Fire Alarm Activation,18-0057,2001-09-18,11:10am,2001-09-18,11:10am,Mudd Building,NA,2001,2001
Hazardous Odor,18-0058,2001-09-18,12:43pm,2001-09-18,12:40pm,Mudd Building,NA,2001,2001
Theft 1,18-0059,2001-09-18,1:27pm,2001-09-18,1:27pm,Burr Gym,NA,2001,2001
Burglary 2,18-0060,2001-09-18,1:49pm,2001-09-18,1:49pm,Plaza Towers,NA,2001,2001
Theft from Auto,18-0061,2001-09-18,3:40pm,2001-09-18,3:40pm,Drew Hall,NA,2001,2001
Hazardous Water Leak,18-0062,2001-08-18,6:01pm,2001-08-18,5:25pm,West Campus,NA,2001,2001
Hazardous Water Leak,18-0063,2001-09-18,2:20pm,2001-09-18,2:20pm,Chemistry Building,NA,2001,2001
Suspicious Odor,18-0064,2001-09-18,9:53pm,2001-09-18,9:53pm,Bethune Annex,NA,2001,2001
Fire Alarm Activation,18-0065,2001-10-18,1:29am,2001-10-18,1:29am,Chemistry Building,NA,2001,2001
Theft 2,18-0066,2001-10-18,8:56am,2001-10-18,8:46am,HU Hospital,NA,2001,2001
Simple Assault,18-0067,2001-10-18,9:55am,2001-10-18,9:55am,Service Center,NA,2001,2001
Theft from Auto,18-0068,2001-10-18,10:36am,2001-10-18,10:36am,Service Center,NA,2001,2001
Lost Property,18-0069,2001-10-18,11:17am,2001-10-18,11:17am,Howard Plaza Towers West,NA,2001,2001
Hazardous Water Leak,18-0070,2001-10-18,5:09pm,2001-10-18,5:09pm,Burr Gym,NA,2001,2001
Miscellaneous,18-0071,2001-11-18,12:45pm,2001-11-18,7:45am,HU Hospital,NA,2001,2001
Barring Notice,18-0072,2001-11-18,2:08pm,2001-11-18,2:08pm,Service Center,NA,2001,2001
Burglary 2,18-0073,2001-11-18,4:02pm,2001-11-18,4:02pm,Howard Plaza Towers West,NA,2001,2001
Fraud,18-0074,2001-11-18,3:55pm,2001-11-18,3:55pm,College Hall South,NA,2001,2001
Destruction of Property,18-0075,2001-11-18,5:29pm,2001-11-18,5:29pm,4th Street front of Quad.,NA,2001,2001
Fire Alarm Activation,18-0076,2001-12-18,1:04pm,2001-12-18,1:04pm,Rankin Chapel,NA,2001,2001
Fire Alarm Activation,18-0077,2001-12-18,8:18am,2001-12-18,8:18am,Bethune Annex,NA,2001,2001
Unlawful Entry,18-0078,2001-12-18,12:37pm,2001-12-18,12:37pm,Howard Plaza Towers West,NA,2001,2001
Lost Property,18-0079,2001-12-18,1:05pm,2001-12-18,1:05pm,HU Hospital,NA,2001,2001
Barring Notice,18-0080,2001-12-18,2:34pm,2001-12-18,2:34pm,Howard Plaza Towers West,NA,2001,2001
Suspicious Odor,18-0081,2001-12-18,2:22pm,2001-12-18,2:22pm,Bethune Annex,NA,2001,2001
Hazardous Water Leak,18-0082,NA,12:06am,NA,12:06am,Fine Arts Building,NA,NA,NA
Hazardous Water Leak,18-0083,NA,2:25am,NA,2:25am,Burr Gym,NA,NA,NA
Hazardous Water Leak,18-0084,NA,6:04am,NA,6:04am,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0085,NA,2:10pm,NA,1:50pm,Fine Arts Building,NA,NA,NA
Hazardous Water Leak,18-0086,NA,6:46pm,NA,6:30pm,C.B. Powell Building,NA,NA,NA
Fire Alarm Activation,18-0087,NA,5:51pm,NA,5:42pm,Quadrangle Hall,NA,NA,NA
Fire Alarm Activation,18-0088,NA,,NA,9:15pm,Architect & Planning,NA,NA,NA
Injured Person,18-0089,NA,10:27am,NA,10:27am,Cramton Auditorium,NA,NA,NA
Fire Alarm Activation,18-0090,NA,11:05am,NA,11:05am,Howard Plaza Towers West,NA,NA,NA
Fire Alarm Activation,18-0091,NA,1:58pm,NA,1:58pm,Quadrangle Hall,NA,NA,NA
Hazardous Water Leak,18-0092,NA,9:57pm,NA,9:57pm,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0093,NA,1:41pm,NA,1:41am,Dental School,NA,NA,NA
Miscellaneous,18-0094,NA,6:12pm,NA,6:12pm,Quadrangle Hall,NA,NA,NA
Hazardous Water Leak,18-0095,NA,3:56am,NA,3:56am,Biology Building,NA,NA,NA
Theft from Auto,18-0096,NA,11:22am,NA,11:22am,Off Campus,NA,NA,NA
Simple Assault,18-0097,NA,4:05pm,NA,4:05pm,Off Campus,NA,NA,NA
Lost Property,18-0098,NA,5:44pm,NA,4:57pm,Off Campus,NA,NA,NA
Sick Transport,18-0099,NA,3:27pm,NA,3:27pm,Medical Arts Building,NA,NA,NA
Verbal Dispute,18-0100,NA,1:07am,NA,1:05am,Drew Hall,NA,NA,NA
Sick Person,18-0101,NA,9:19am,NA,9:17am,Bookstore,NA,NA,NA
Injured Person,18-0102,NA,9:01am`,NA,9:01am`,Lower Campus,NA,NA,NA
Theft 1,18-0103,NA,4:23pm,NA,4:23pm,Dental School,NA,NA,NA
Sick Person,18-0104,NA,5:22pm,NA,5:22pm,Middle School,NA,NA,NA
Hazardous Water Leak,18-0105,NA,6:33pm,NA,6:33pm,Fine Arts Building,NA,NA,NA
Sick Person,18-0106,NA,6:53pm,NA,6:53pm,College Hall South,NA,NA,NA
Fire Alarm Activation,18-0107,NA,10:03pm,NA,10:03pm,Quadrangle Hall,NA,NA,NA
Vehicle Accident,18-0108,NA,6:32am,NA,6:32am,Lower Campus,NA,NA,NA
Theft from Auto,18-0109,NA,10:42am,NA,10:42am,Banneker South Parking Lot,NA,NA,NA
Vehicle Accident,18-0110,NA,11:14am,NA,11:14am,Off Campus,NA,NA,NA
Injured Person,18-0111,NA,11:33am,NA,11:33am,International Affairs Lot,NA,NA,NA
Damaged Property,18-0112,NA,12:51pm,NA,12:20pm,Burr Gym,NA,NA,NA
Suspicious Package,18-0113,NA,2:53pm,NA,2:53pm,Admin. Building,NA,NA,NA
Damaged Property,18-0114,NA,5:13pm,NA,5:13pm,HU Hospital,NA,NA,NA
Lost Property,18-0115,NA,5:34pm,NA,5:34pm,College Hall South,NA,NA,NA
Vehicle Accident,18-0116,NA,9:44am,NA,9:06am,HU Hospital,NA,NA,NA
Barring Notice,18-0117,NA,10:51am,NA,10:51am,Service Center,NA,NA,NA
Miscellaneous,18-0118,NA,11:42am,NA,11:42am,Middle School,NA,NA,NA
Theft 2,18-0119,NA,11:59am,NA,11:59am,College Hall South,NA,NA,NA
Injured Person,18-0120,NA,3:32pm,NA,3:32pm,C.B. Powell Building,NA,NA,NA
Theft from Auto,18-0121,NA,8:18pm,NA,8:18pm,HU Hospital,NA,NA,NA
Sick Transport,18-0122,NA,10:47pm,NA,10:47pm,School of Business,NA,NA,NA
Unlawful Entry,18-0123,NA,1:42am,NA,1:42am,Pharmacy Building,NA,NA,NA
Damaged Property,18-0124,NA,10:40am,NA,10:40am,Pharmacy Building,NA,NA,NA
Lost Property,18-0125,NA,1:53pm,NA,1:40pm,HU Hospital,NA,NA,NA
Vehicle Accident,18-0126,NA,4:16pm,NA,4:16pm,Upper Campus,NA,NA,NA
Hazardous Water Leak,18-0127,NA,4:42pm,NA,4:30pm,Biology Building,NA,NA,NA
Hazardous Water Leak,18-0128,NA,12:18am,NA,12:18am,Chemistry Building,NA,NA,NA
Sick Person,18-0129,NA,2:07am,NA,2:07am,Drew Hall,NA,NA,NA
Sick Person,18-0130,NA,2:59am,NA,2:00am,HU Hospital,NA,NA,NA
Theft from Auto,18-0131,NA,3:25am,NA,2:00am,I-Lab,NA,NA,NA
Theft 1,18-0132,NA,12:17pm,NA,12:17pm,Off Campus,NA,NA,NA
Sick Person,18-0133,NA,12:50am,NA,12:01am,HU Hospital,NA,NA,NA
Lost Property,18-0134,NA,5:52am,NA,11:30pm,HU Hospital,NA,NA,NA
Lost Property,18-0135,NA,10:51am,NA,10:40am,I-Lab,NA,NA,NA
Found Property,18-0136,NA,9:56am,NA,9:56am,69 Bryant St. NW,NA,NA,NA
Suspicious Odor,18-0137,NA,1:36pm,NA,1:36pm,Architect & Planning,NA,NA,NA
Attempt Suicide,18-0138,NA,2:25pm,NA,2:25pm,Quadrangle Hall,NA,NA,NA
Theft from Auto,18-0139,NA,10:16pm,NA,10:16pm,Rear of Johnson Lot,NA,NA,NA
Sick Person,18-0140,NA,12:12am,NA,12:12am,Quadrangle Hall,NA,NA,NA
Sexual Assault,18-0141,NA,3:46am,NA,12:02am,Drew Hall,NA,NA,NA
Fire Alarm Activation,18-0142,NA,11:36am,NA,11:36am,Admin. Building,NA,NA,NA
Sick Person,18-0143,NA,11:49am,NA,11:49am,Upper Campus,NA,NA,NA
Found Property,18-0144,NA,12:43pm,NA,12:43pm,Stokes Library,NA,NA,NA
Fire Alarm Activation,18-0145,NA,1:07pm,NA,1:07pm,College Hall South,NA,NA,NA
Lost Property,18-0146,NA,4:22pm,NA,3:45pm,Burr Gym,NA,NA,NA
Sick Transport,18-0147,NA,4:37pm,NA,4:37pm,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0148,NA,4:27pm,NA,4:15pm,Burr Gym Loading Dock,NA,NA,NA
Sick Person,18-0149,NA,6:31pm,NA,4:23pm,HU Hospital,NA,NA,NA
Injured Person,18-0150,NA,9:23pm,NA,4:40pm,HU Hospital,NA,NA,NA
Threats,18-0151,NA,11:22pm,NA,11:22pm,College Hall North,NA,NA,NA
Sick Person,18-0152,NA,10:11am,NA,10:05am,HU Hospital,NA,NA,NA
Injured Person,18-0153,NA,11:56am,NA,11:51am,HU Hospital,NA,NA,NA
Vehicle Accident,18-0154,NA,12:51pm,NA,12:51pm,Lower Campus,NA,NA,NA
Damaged Property,18-0155,NA,1:43pm,NA,1:25pm,HU Hospital,NA,NA,NA
Student Misconduct,18-0156,NA,1:26pm,NA,1:26pm,College Hall North,NA,NA,NA
Title 9,18-0157,NA,3:44pm,NA,3:44pm,Off Campus,NA,NA,NA
Miscellaneous,18-0158,NA,4:25pm,NA,4:25pm,Admin. Building,NA,NA,NA
Damaged Property,18-0159,NA,4:27pm,NA,4:15pm,School of Business,NA,NA,NA
Health & Welfare Check,18-0160,NA,3:17pm,NA,3:17pm,Plaza Towers,NA,NA,NA
Sick Person,18-0161,NA,4:44pm,NA,4:44pm,Medical Arts Building,NA,NA,NA
Found Property,18-0162,NA,9:57pm,NA,9:57pm,Mudd Building,NA,NA,NA
Injured Person,18-0163,NA,11:21pm,NA,2:47am,2300 blk 6th St. NW,NA,NA,NA
Fire Alarm Activation,18-0164,NA,7:26am,NA,7:26am,Dental School,NA,NA,NA
Lost Property,18-0165,NA,10:05am,NA,10:00am,HU Hospital,NA,NA,NA
Sick Person,18-0166,NA,1:02pm,NA,12:41pm,HU Hospital,NA,NA,NA
Sick Person,18-0167,NA,1:43pm,NA,1:43pm,Blackburn Center,NA,NA,NA
Fire Alarm Activation,18-0168,NA,5:13pm,NA,5:13pm,Founders Library,NA,NA,NA
Damaged Property,18-0169,NA,6:11pm,NA,6:11pm,Dental School,NA,NA,NA
Damaged Property,18-0170,NA,5:51pm,NA,5:51pm,A-1 rear Parking Lot,NA,NA,NA
Harrassment,18-0171,NA,8:13pm,NA,8:13pm,College Hall South,NA,NA,NA
Damaged Property,18-0172,NA,8:48pm,NA,5:52pm,2200 block of 6th St NW,NA,NA,NA
Fire Alarm Activation,18-0173,NA,5:55am,NA,5:55am,C.B. Powell Building,NA,NA,NA
Suspicious Odor,18-0174,NA,5:57pm,NA,5:57pm,Bethune Annex,NA,NA,NA
Vehicle Accident,18-0175,NA,6:05pm,NA,6:00pm,Off Campus,NA,NA,NA
Hazardous Elevator,18-0176,NA,7:05pm,NA,7:05pm,Quadrangle Hall,NA,NA,NA
Fire Alarm Activation,18-0177,NA,6:55pm,NA,6:55pm,Biology Building,NA,NA,NA
Theft from Auto,18-0178,NA,7:49pm,NA,7:49pm,Cook Hall,NA,NA,NA
Theft from Auto,18-0179,NA,10:06am,NA,2:30am,Drew Hall,NA,NA,NA
Sick Person,18-0180,NA,12:17pm,NA,12:16pm,Quadrangle Hall,NA,NA,NA
Hazardous Water Leak,18-0181,NA,4:23pm,NA,4:15pm,UGL,NA,NA,NA
Theft 2,18-0182,NA,5:02pm,NA,5:02pm,Bethune Annex,NA,NA,NA
Lost Property,18-0183,NA,3:59am,NA,3:30am,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0184,NA,4:57am,NA,4:57am,Architecture & Planning,NA,NA,NA
Injured Person,18-0185,NA,7:13pm,NA,5:55pm,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0186,NA,9:44pm,NA,9:44pm,HUIRB Reearch,NA,NA,NA
Fire Alarm Activation,18-0187,NA,10:52pm,NA,10:52pm,College Hall South,NA,NA,NA
Hazardous Water Leak,18-0188,NA,1:22am,NA,1:22am,HU Research Lab,NA,NA,NA
Injured Person,18-0189,NA,9:56am,NA,9:56am,Service Center,NA,NA,NA
Damaged Property,18-0190,NA,10:30am,NA,10:20am,Service Center,NA,NA,NA
Disorderly Conduct,18-0191,NA,10:13am,NA,9:50am,Admin. Building,NA,NA,NA
Miscellaneous,18-0192,NA,1:02pm,NA,1:02pm,HU Hospital,NA,NA,NA
Theft from Auto,18-0193,NA,2:07pm,NA,2:07pm,Burr Gym,NA,NA,NA
Lost Property,18-0194,NA,6:54pm,NA,2:00pm,Chemistry Building,NA,NA,NA
Fire Alarm Activation,18-0195,NA,7:40pm,NA,7:40pm,Plaza Towers,NA,NA,NA
Unlawful Entry,18-0196,NA,9:25pm,NA,9:10pm,HU Hospital,NA,NA,NA
Disorderly Conduct,18-0197,NA,10:40pm,NA,10:40pm,HU Hospital,NA,NA,NA
Injured Person,18-0198,NA,5:36am,NA,10:50pm,HU Hospital,NA,NA,NA
Damaged Property,18-0199,NA,,NA,,"""Ga.",NA,NA,NA
Disorderly Conduct,18-0200,NA,11:41am,NA,5:15pm,Off Campus,NA,NA,NA
Damaged Property,18-0201,NA,1:43pm,NA,8:49am,"""Ga.",NA,NA,NA
Disorderly Conduct,18-0202,NA,1:46pm,NA,1:36pm,Administration Building,NA,NA,NA
Damaged Property,18-0203,NA,3:37pm,NA,3:37pm,Chemistry Building,NA,NA,NA
Sexual Assault,18-0204,NA,6:05pm,NA,6:05pm,Howard Plaza Towers West,NA,NA,NA
Injured Person,18-0205,NA,7:17pm,NA,6:50pm,Howard Center Lot,NA,NA,NA
Found Property,18-0206,NA,6:08pm,NA,5:50pm,Bethune Annex,NA,NA,NA
Vehicle Accident,18-0207,NA,11:52am,NA,12:06pm,Annex 3,NA,NA,NA
Damaged Property,18-0208,NA,1:10pm,NA,12:15pm,HU Hospital,NA,NA,NA
Sick Person,18-0209,NA,3:46pm,NA,3:46pm,HU Hospital,NA,NA,NA
Injuried Person,18-0210,NA,5:55pm,NA,5:35pm,Upper Campus,NA,NA,NA
Lost Property,18-0211,NA,8:49pm,NA,8:50pm,Blackburn Center,NA,NA,NA
Sick Person,18-0212,NA,6:38pm,NA,6:38pm,Blackburn Center,NA,NA,NA
Sick Person,18-0213,NA,9:59pm,NA,9:44pm,HU Hospital,NA,NA,NA
Damaged Property,18-0214,NA,10:47pm,NA,10:47pm,Mudd Building,NA,NA,NA
Hazardous Water Leak,18-0215,NA,11:50pm,NA,11:50pm,Pharmacy Bldg.,NA,NA,NA
Damaged Property,18-0216,NA,11:56pm,NA,11:56pm,Founders Library,NA,NA,NA
Fire Alarm Activation,18-0217,2002-01-18,5:11am,2002-01-18,5:00am,HU Hospital,NA,2002,2002
Theft from Auto,18-0218,2002-01-18,9:51am,2002-01-18,9:54am,Lower Campus,NA,2002,2002
Fire Alarm Activation,18-0219,2002-01-18,9:58am,2002-01-18,9:58am,College Hall South,NA,2002,2002
Fire Alarm Activation,18-0220,2002-01-18,11:49am,2002-01-18,10:55am,Stokes Library,NA,2002,2002
Lost Property,18-0221,2002-01-18,2:16pm,2002-01-18,2:16pm,Carnegie Hall,NA,2002,2002
Lost Property,18-0222,2002-01-18,3:28pm,2002-01-18,3:15pm,BTWN Howard Hall/Cook Hall,NA,2002,2002
Found Property,18-0223,2002-01-18,9:32pm,2002-01-18,9:15pm,Burr Gym,NA,2002,2002
Found Property,18-0224,2002-02-18,8:18am,2002-02-18,8:20am,HUIRB Research Bldg.,NA,2002,2002
Vehicle Accident,18-0225,2002-02-18,11:19am,2002-02-18,11:19am,Main Gate,NA,2002,2002
Theft 2,18-0226,2002-02-18,12:13pm,2002-02-18,12:13pm,HU Hospital,NA,2002,2002
Miscellaneous,18-0227,2002-02-18,3:56pm,2002-02-18,3:56pm,HU Hospital,NA,2002,2002
Theft 2,18-0228,2002-02-18,3:00pm,2002-02-18,3:00pm,HU Service Center,NA,2002,2002
Theft 2,18-0229,2002-02-18,10:23pm,2002-02-18,10:23pm,College Hall North,NA,2002,2002
Sick Person,18-0230,2002-03-18,3:33am,2002-03-18,3:33am,College Hall North,NA,2002,2002
Injured Person,18-0231,2002-03-18,12:34pm,2002-03-18,9:10am,Bethune Annex,NA,2002,2002
Hazardous Water Leak,18-0232,2002-03-18,1:01pm,2002-03-18,1:01pm,Pharmacy Building,NA,2002,2002
Damaged Property,18-0233,2002-04-18,1:11pm,2002-04-18,6:20am,HU Service Center,NA,2002,2002
Hazardous Water Leak,18-0234,2002-04-18,3:25pm,2002-04-18,3:15pm,School Of Business,NA,2002,2002
Theft from Auto,18-0235,2002-04-18,3:20pm,2002-04-18,3:20pm,300 Block College Street,NA,2002,2002
Hazardous Water Leak,18-0236,2002-04-18,4:47pm,2002-04-18,4:47pm,Miner Building,NA,2002,2002
Lost Property,18-0237,2002-04-18,8:35pm,2002-04-18,8:35pm,HU Hospital,NA,2002,2002
Injured Person,18-0238,2002-05-18,9:24am,2002-05-18,9:24am,HU Service Center,NA,2002,2002
Lost Property,18-0239,2002-05-18,2:31pm,2002-05-18,2:31pm,HU Service Center,NA,2002,2002
Sick Person,18-0240,2002-05-18,3:12pm,2002-05-18,3:12pm,Drew Hall,NA,2002,2002
Damaged Property,18-0241,2002-05-18,4:05pm,2002-05-18,4:00pm,Banneker South Lot,NA,2002,2002
Fire Alarm Activation,18-0242,2002-05-18,9:54pm,2002-05-18,9:54pm,Stokes Library,NA,2002,2002
Fire Alarm Activation,18-0243,2002-06-18,11:27am,2002-06-18,11:27am,Rankin Chapel,NA,2002,2002
Miscellaneous,18-0244,2002-06-18,12:42pm,2002-06-18,12:42pm,Service Center,NA,2002,2002
Theft 2,18-0245,2002-06-18,1:30pm,2002-06-18,1:30pm,HU Hospital,NA,2002,2002
Lost Property,18-0246,2002-06-18,2:30pm,2002-05-18,2:30pm,On Campus,NA,2002,2002
Fraud,18-0247,2002-06-18,2:35pm,2002-02-18,2:35pm,On Campus,NA,2002,2002
Found Property,18-0248,2002-06-18,4:55pm,2002-06-18,4:40pm,Bethune Annex,NA,2002,2002
Found Property,18-0249,2002-06-18,5:41pm,2002-06-18,5:40pm,Main Gate,NA,2002,2002
Miscellaneous,18-0250,2002-06-18,7:18pm,2002-06-18,7:18pm,Plaza Towers,NA,2002,2002
Miscellaneous,18-0251,2002-07-18,7:43am,2002-07-18,7:35am,Service Center,NA,2002,2002
Hazardous Odor,18-0252,2002-07-18,,2002-07-18,,Founders Library,NA,2002,2002
Sick Person,18-0253,2002-07-18,6:46pm,2002-07-18,6:45pm,HU Hospital,NA,2002,2002
Damaged Property,18-0254,2002-07-18,8:46pm,2002-07-18,8:45pm,College St. NW,NA,2002,2002
Sick Person,18-0255,2002-07-18,9:30pm,2002-07-18,9:30pm,Quadrangle Hall,NA,2002,2002
Damaged Property,18-0256,2002-08-18,12:12pm,2002-08-18,12:10pm,A-2 Garage,NA,2002,2002
Vehicle Accident,18-0257,2002-08-18,2:43pm,2002-08-18,1:31pm,HU Hospital,NA,2002,2002
Vehicle Accident,18-0258,2002-08-18,2:57pm,2002-08-18,2:57pm,4th & Bryant Street,NA,2002,2002
Injured Person,18-0259,2002-08-18,3:27pm,2002-08-18,3:27pm,Bethune Annex,NA,2002,2002
Sick Person,18-0260,2002-08-18,7:43pm,2002-08-18,7:43pm,College Hall South,NA,2002,2002
Injured Person,18-0261,2002-08-18,9:34pm,2002-08-18,9:34pm,Burr Gymnasium,NA,2002,2002
Found Property,18-0262,2002-09-18,3:15am,2002-09-18,2:46am,Stokes Library,NA,2002,2002
Sick Person,18-0263,2002-09-18,4:50am,2002-09-18,4:50am,Quadrangle Hall,NA,2002,2002
Student Misconduct,18-0264,2002-09-18,9:41am,2002-09-18,9:40am,Howard Plaza Towers West,NA,2002,2002
Sick Person,18-0265,2002-09-18,10:21am,2002-09-18,10:20am,WHUR,NA,2002,2002
Vehicle Accident,18-0266,2002-09-18,11:57am,2002-09-18,11:57am,Service Center,NA,2002,2002
Damaged Property,18-0267,2002-09-18,2:15pm,2002-09-18,2:15pm,HU Hospital,NA,2002,2002
Theft from Auto,18-0268,2002-09-18,6:48pm,2002-09-18,6:48pm,Miner Lot,NA,2002,2002
Theft from Auto,18-0269,2002-09-18,6:49pm,2002-09-18,6:49pm,Physic Building,NA,2002,2002
Damaged Property,18-0270,2002-10-18,1:20am,2002-10-18,1:20am,C.B. Powell Building,NA,2002,2002
Unlawful Entry,18-0271,2002-10-18,3:09am,2002-10-18,3:09am,Howard Plaza Towers West,NA,2002,2002
Lost Property,18-0272,2002-10-18,3:40pm,2002-10-18,1:53pm,HU Hospital,NA,2002,2002
Fire Alarm Activation,18-0273,2002-10-18,4:48pm,2002-10-18,4:48pm,College Hall South,NA,2002,2002
Theft from Auto,18-0274,2002-10-18,9:59pm,2002-10-18,9:59pm,I-Lab,NA,2002,2002
Fire Alarm Activation,18-0275,2002-11-18,12:36am,2002-11-18,12:36am,Chemistry Building,NA,2002,2002
Damaged Property,18-0276,2002-11-18,7:36am,2002-11-18,7:15am,Burr Gymnasium,NA,2002,2002
Damaged Property,18-0277,2002-11-18,8:06am,2002-11-18,,Burr Gymnasium,NA,2002,2002
Threats to do bodily harm,18-0278,2002-11-18,10:06pm,2002-11-18,7:06pm,Stokes Library,NA,2002,2002
Vehicle Accident,18-0279,2002-12-18,12:31am,2002-12-18,12:31am,Lower Campus,NA,2002,2002
Damaged Property,18-0280,2002-12-18,12:00pm,2002-12-18,10:00am,Greene Stadium,NA,2002,2002
Damaged Property,18-0281,2002-12-18,1:41pm,2002-11-18,12:01pm,West Campus,NA,2002,2002
Found Property,18-0282,2002-12-18,2:25pm,2002-12-18,2:25pm,College Hall North,NA,2002,2002
Hazardous Water Leak,18-0283,2002-12-18,4:08pm,2002-12-18,4:08pm,Chemistry Building,NA,2002,2002
Harrassment,18-0284,2002-12-18,5:05pm,2002-12-18,4:45pm,Off Campus,NA,2002,2002
Damaged Property,18-0285,2002-12-18,6:35pm,2002-12-18,6:18pm,Greene Stadium,NA,2002,2002
Sick Person,18-0286,NA,9:59am,NA,9:59am,College Hall South,NA,NA,NA
Injured Person,18-0287,NA,11:07am,NA,11:07am,Dental School,NA,NA,NA
Armed Robbery,18-0288,NA,5:47pm,NA,4:00pm,Upper Campus,NA,NA,NA
Lost Property,18-0289,NA,6:15pm,NA,6:15pm,Campus wide,NA,NA,NA
Fire Alarm Activation,18-0290,NA,7:15am,NA,7:15am,Burr Gymnasium,NA,NA,NA
Sick Person,18-0291,NA,11:41am,NA,11:41am,Quadrangle Hall,NA,NA,NA
Simple Assault,18-0292,NA,12:14pm,NA,12:14pm,I-Lab,NA,NA,NA
Simple Assault,18-0293,NA,10:37pm,NA,4:24pm,HU Hospital,NA,NA,NA
Fire Alarm Activation,18-0294,NA,1:59pm,NA,1:59pm,Pharmacy Building,NA,NA,NA
Found Property,18-0295,NA,6:42am,NA,6:30am,Medical Arts Building,NA,NA,NA
Suspicious Odor,18-0296,NA,9:22am,NA,9:22am,Dental School,NA,NA,NA
Attempt Suicide,18-0297,NA,10:59am,NA,10:42am,HU Hospital,NA,NA,NA
Lost Property,18-0298,NA,1:14pm,NA,12:45pm,HU Hospital,NA,NA,NA
Sick Person,18-0299,NA,2:23pm,NA,2:23pm,Blackburn Center,NA,NA,NA
Sick Person,18-0300,NA,2:59pm,NA,2:39pm,HU Hospital,NA,NA,NA
Sick Person,18-0301,NA,4:28pm,NA,4:28pm,Burr Gymnasium,NA,NA,NA
Domestic Violence,18-0302,NA,7:43pm,NA,5:00pm,HU Hospital,NA,NA,NA
Lost Property,18-0303,NA,8:13pm,NA,8:13pm,HU Service Center,NA,NA,NA
Sick Person,18-0304,NA,10:06pm,NA,10:06pm,Cook Hall,NA,NA,NA
Disorderly Conduct,18-0305,NA,12:16am,NA,12:16am,Business District,NA,NA,NA
Hazardous Water Leak,18-0306,NA,11:32pm,NA,11:32pm,Architecture & Planning,NA,NA,NA
ADW-Knife,18-0307,NA,3:00am,NA,3:00am,Engineering Building,NA,NA,NA
Sick Person,18-0308,NA,3:24am,NA,3:24am,Cook Hall,NA,NA,NA
Fire Alarm Activation,18-0309,NA,7:37am,NA,7:37am,Pharmacy Building,NA,NA,NA
Suspicious Odor,18-0310,NA,8:42am,NA,8:42am,WHUT,NA,NA,NA
Theft from Auto,18-0311,NA,10:09am,NA,10:09am,Burr Gymnasium,NA,NA,NA
Theft 2,18-0312,NA,12:30pm,NA,12:00pm,HU Hospital,NA,NA,NA
Theft 2,18-0313,NA,2:24pm,NA,2:07pm,HU Hospital,NA,NA,NA
Injured Person,18-0314,NA,4:18pm,NA,4:18pm,2300 block 6th Street NW,NA,NA,NA
Miscellaneous,18-0315,NA,5:14pm,NA,4:50pm,HU Service Center,NA,NA,NA
Fire Alarm Activation,18-0316,NA,1:05pm,NA,1:05pm,Quadrangle Hall,NA,NA,NA
Fire Alarm Activation,18-0317,NA,12:36pm,NA,12:36pm,College Hall South,NA,NA,NA
Found Property,18-0318,NA,9:01am,NA,8:47am,Chemistry Building,NA,NA,NA
Fire Alarm Activation,18-0319,NA,1:52pm,NA,1:52pm,College Hall North,NA,NA,NA
Fire Alarm Activation,18-0320,NA,5:04pm,NA,5:04pm,Pharmacy Building,NA,NA,NA
Suspicous Odor,18-0321,NA,7:36pm,NA,7:36pm,Drew Hall,NA,NA,NA
Miscellaneous,18-0322,NA,4:42am,NA,5:06am,HURB 1,NA,NA,NA
Student Misconduct,18-0323,NA,7:36pm,NA,7:20pm,C.B. Powell Building,NA,NA,NA
Theft from Auto,18-0324,NA,7:20am,NA,7:20am,Burr Gymnasium,NA,NA,NA
Theft 1,18-0325,NA,7:56am,NA,7:56am,Service Center,NA,NA,NA
Disorderly Conduct,18-0326,NA,9:47am,NA,9:35am,Service Center,NA,NA,NA
Theft 2,18-0327,NA,2:26pm,NA,1:27pm,HU Hospital,NA,NA,NA
Fraud,18-0328,NA,2:38pm,NA,12:18pm,Mudd Building,NA,NA,NA
Sick Person,18-0329,NA,5:33pm,NA,7:22pm,Architecture & Planning,NA,NA,NA
Sick Person,18-0330,NA,8:03pm,NA,8:00pm,HU Hospital,NA,NA,NA
Sick Person,18-0331,NA,2:05am,NA,2:05am,HU Hospital,NA,NA,NA
Sick Person,18-0332,NA,6:35am,NA,6:35am,HU Hospital,NA,NA,NA
Hazardous Water Leak,18-0333,NA,9:44am,NA,9:44am,Burr Gymnasium,NA,NA,NA
