report_date,incident,incident_narrative,incident_number,date_occured,time_occured,general_location,disposition,year_occured,year_reported
2017-10-11,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized a restroom bydrawing a hate symbol and writingon the wall,17-001545,2017-10-11,2248,icc,case pending investigation,2017,2017
2017-10-14,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001561,2017-10-14,1929,reynolds hall,case referred to studentconduct,2017,2017
2017-10-14,drug violation, a student wasfound in possession of cocaine,17-001564,2017-10-14,2350,henle village,case referred to studentconduct,2017,2017
2017-10-16,theft, a  student reported the theftof a bicycle,17-001581,2017-10-16,1910,36th & prospectstreet northwest,case pending investigation,2017,2017
2017-10-17,theft, a  staff member reported thetheft of a sign,17-001583,2017-10-16,1100,reiss sciencebuilding,case pending investigation,2017,2017
2017-10-17,theft, a  student reported the theftof a pair of wireless headphones,17-001588,2017-10-17,2128,yates field house,case pending investigation,2017,2017
2017-10-18,theft, a  student reported the theftof a us currency,17-001592,2017-10-18,1620,village c west,case pending investigation,2017,2017
2017-10-19,defacing property,  a studentreported that someone vandalized abathroom by drawing  a symbol andwriting on the wall,17-001595,2017-10-19,0102,lauinger library,case pending investigation,2017,2017
2017-10-19,theft, a  student reported the theftof a bicycle,17-001596,2017-10-18,1225,red square,case pending investigation,2017,2017
2017-10-20,drug violation, a student wasfound in possession of cocaine,17-001600,2017-10-20,0124,henle village,case referred to studentconduct,2017,2017
2017-10-21,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001606,2017-10-21,0045,library walk,case referred to studentconduct,2017,2017
2017-10-24,destruction of property,  a guaffiliate reported that someonevandalized a office and destroyed aprinter,17-001635,2017-10-24,1400,o'donovan dininghall,case pending investigation,2017,2017
2017-10-24,theft, a  staff member reported thetheft of us currency,17-001636,2017-10-24,1900,healy hall,case pending investigation,2017,2017
2017-10-25,alcohol violation, a underagestudent was in possession of aopen container of alcohol,17-001642,2017-10-25,2222,alumni square,case referred to studentconduct,2017,2017
2017-10-27,drug violation, a student wasfound in possession of marijuana,17-001651,2017-10-27,1150,henle village,case referred to studentconduct,2017,2017
2017-10-27,alcohol violation, a underagestudent was in possession of aopen container of alcohol,17-001657,2017-10-27,2250,new south hall,case referred to studentconduct,2017,2017
2017-10-27,theft, a  student reported the theftof a drummer stool,17-001658,2017-10-27,2250,harbin hall,case pending investigation,2017,2017
2017-10-28,unlawful entry, a gupd officerlocated a previously barred nonaffiliate on campus,17-001669,2017-10-28,0930,lauinger library,case closed with arrestmpd ccn 17-187156,2017,2017
2017-10-28,drug violation, a student wasfound in possession of marijuana,17-001675,2017-10-28,1815,henle village,case referred to studentconduct,2017,2017
2017-10-29,alcohol violation, a underagestudent was in possession of aopen container of alcohol,17-001687,2017-10-29,0210,ryan road,case referred to studentconduct,2017,2017
2017-10-29,theft, a  student reported the theftof personal property from a vehicle,17-001690,2017-10-29,1345,mcdonoughgymnasium busturnaround,case pending investigation,2017,2017
2017-10-30,sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-140,2017-10-28,NA,henle village,case pending investigation,2017,2017
2017-10-31,sexual assault, a  student reportedthat they were sexually assaultedon campus,17-001703,2017-09-02,0000,harbin hall,case pending investigation,2017,2017
2017-10-31,stalking, a  gu affiliate reportedbeing stalked by a yates member,17-001706,2017-10-31,1430,yates field house,case referred to studentconduct,2017,2017
2017-10-31,theft, a  student reported the theftof a motor scooter,17-001708,2017-10-31,1952,lauinger librarylower level bicycerack,case pending investigation,2017,2017
2018-10-01,drug violation, a student wasfound in possession of marijuana,18-001332,2018-10-01,2222,lxr,case referred to studentconduct,2018,2018
2018-10-01,sexual assault, a student repotedthat they were sexually assaulted,tix-384,2018-09-28,NA,henle village,case pending investigation,2018,2018
2018-10-02,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to two (2) secured roomsand stole electronics,18-001337,2018-09-28,1300,hariri building,case pending investigationhandled by mpd ccn; 18-166703,2018,2018
2018-10-06,theft, a  student reported the theftof a bicycle,18-001361,2018-10-06,1500,lxr,case pending investigation,2018,2018
2018-10-06,theft, a  student reported the theftof a backpack,18-001362,2018-10-06,0233,darnall hall(epicurean),case pending investigation,2018,2018
2018-10-07,assault, a  gu affiliate reportedthat they were assaulted,18-001365,2018-10-07,0210,lxr,case referred to studentconduct,2018,2018
2018-10-09,theft, a  staff member reported thetheft of university property,18-001375,2018-10-09,0810,reiss science,case pending investigation,2018,2018
2018-10-09,drug violation, a student wasfound in possession of marijuana,18-001381,2018-10-09,2339,henle village,case referred to studentconduct,2018,2018
2018-10-10,theft, a  student reported the theftof personal property,18-001384,2018-10-01,0810,icc,case pending investigation,2018,2018
2018-10-10,drug violation, a student wasfound in possession of marijuana,18-001388,2018-10-10,2045,observatory,case referred to studentconduct,2018,2018
2018-10-11,theft, a  student reported the theftof personal property,18-001394,2018-09-23,2200,hariri building,case pending investigation,2018,2018
2018-10-11,theft, a  staff member reported thetheft of university property,18-001396,2018-09-28,1600,car barn,case pending investigation,2018,2018
2018-10-12,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to their secured office andstole electronics,18-001407,2018-10-02,0930,healy hall,case pending investigationhandled by mpd ccn; 18-173184,2018,2018
2018-10-15,theft, a  staff member reported thetheft of university property,18-001429,2018-10-09,1600,regents hall,case pending investigation,2018,2018
2018-10-16,theft, a  gu affiliate (hospitalemployee)  reported the theft of abicycle,18-001436,2018-10-15,unk,thompson athleticcenter,case pending investigation,2018,2018
2018-10-17,theft, a  student reported the theftof personal property,18-001447,2018-10-17,1315,leavey center,case pending investigationhandled by mpd ccn; 18-176296,2018,2018
2018-10-19,theft, a  student reported the theftof personal property,18-001452,2018-10-17,1400,village c east,case pending investigation,2018,2018
2018-10-19,theft, a  student reported the theftof personal property,18-001454,2018-10-19,1700,harbin hall,case pending investigation,2018,2018
2018-10-20,sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-387,2018-10-19,NA,henle village,case pending investigation,2018,2018
2018-10-23,theft, a  student reported the theftof personal property,18-001466,2018-10-19,1700,kennedy hall,case pending investigation,2018,2018
2018-10-23,extortion, a  student reported thatan unknown subject extortedmoney from them,18-001471,2018-10-23,1700,arrupe hall,case pending investigation,2018,2018
2018-10-24,theft, a  student reported the theftof personal property,18-001474,2018-10-18,2000,village c east,case pending investigation,2018,2018
2018-10-24,theft, a  gu student  reported thetheft of a bicycle,18-001475,2018-10-24,1600,entrance 2,case pending investigation,2018,2018
2018-10-24,drug violation, a student wasfound in possession of marijuana,18-001477,2018-10-24,1800,lxr,case referred to studentconduct,2018,2018
2018-10-27,burglary, a student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole electronics,18-001497,2018-10-27,1140,village c east,case pending investigation,2018,2018
2018-10-27,alcohol violation, a underagestudent was found in possession ofalcohol,18-001499,2018-10-27,2056,village a,case referred to studentconduct,2018,2018
2018-10-27,drug violation, a student wasfound in possession of marijuana,18-001500,2018-10-27,2115,dahlgren courtyard,case referred to studentconduct,2018,2018
2018-10-27,drug violation, a student wasfound in possession of marijuana,18-001501,2018-10-27,2207,nordhoff,case referred to studentconduct,2018,2018
2018-10-28,alcohol violation, a underagestudent was found in possession ofalcohol,18-001504,2018-10-28,0035,red square,case referred to studentconduct,2018,2018
2018-10-29,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previousleybarred,18-001514,2018-10-29,0632,arrupe hall,case closed with arrestccn: 18-183358,2018,2018
2018-10-29,burglary, a staff member reportedthat an unknown suspect(s) gainedaccess to two (2) secured officesand stole electronics,18-001515,2018-10-29,0800,icc,case pending investigationhandled by mpd ccn; 18-183443,2018,2018
2018-10-31,theft, a  gu student  reported thetheft of a bicycle,18-001530,2018-10-31,1655,hariri building,case pending investigation,2018,2018
2019-10-01,theft, a student reported the theftof a bicycle,19-001386,2019-10-01,1830,red square,case pending investigation/ handled by mpd ccn: 19-175189,2019,2019
2019-10-01,theft, a student reported the theftof a camera,19-001388,2019-09-30,1530,o'donovan hall,case pending investigation,2019,2019
2019-10-01,sexual assault, a survivor reportedthat they were sexually assaulted,tix-533,2019-09-21,NA,kennedy hall,case pending investigation,2019,2019
2019-10-02,stolen motor scooter, a staffmember reported the theft of amotor scooter,19-001391,2019-10-02,0657,red square,case pending investigation,2019,2019
2019-10-03,stolen motor scooter, a studentreported the theft of a motorscooter,19-001399,2019-10-03,1600,leavey center,case pending investigation/ handled by mpd ccn: 19-176550,2019,2019
2019-10-03,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole a a black bag,19-001400,2019-10-03,1800,new north,unfounded complainantlocated property,2019,2019
2019-10-03,alcohol violation,  a underagestudent was found in possession ofa beer,19-001404,2019-10-03,2340,arrupe hall,case referred to studentconduct,2019,2019
2019-10-04,stolen motor scooter, a staffmember reported the theft of amotor scooter,19-001415,2019-10-03,1600,thompson athleticcenter,case pending investigation/ handled by mpd ccn: 19-177363,2019,2019
2019-10-04,theft, a non affiliate reported thetheft of a coat and bag,19-001416,2019-10-04,1715,lauinger library,case pending investigation,2019,2019
2019-10-05,destruction of property, a gupdofficer reported that an unknownsubject destroyed some furniture,19-001424,2019-10-05,1403,henle village,case pending investigation,2019,2019
2019-10-06,stolen motor scooter, a studentreported the theft of a motorscooter,19-001432,2019-10-06,1801,thompson athleticcenter,case pending investigation/ handled by mpd ccn: 19-178694,2019,2019
2019-10-06,stolen motor scooter, a studentreported the theft of a motorscooter,19-001433,2019-10-06,2028,st. mary's hall,case closed with attestccn: 19-178793,2019,2019
2019-10-07,stolen motor scooter, a studentreported the theft of a motorscooter,19-001439,2019-10-07,1315,hariri buildig,case pending investigation,2019,2019
2019-10-07,theft, a student reported the theftof a wallet,19-001441,2019-10-07,1900,lauinger library,case pending investigation,2019,2019
2019-10-08,theft, a student reported the theftof a bicycle tire,19-001449,2019-10-08,1920,darnall hall,case pending investigation,2019,2019
2019-10-10,drug violation,  a student wasfound in possession marijuana,19-001464,2019-10-10,1836,kennedy hall,case referred to studentconduct,2019,2019
2019-10-10,theft, a student reported the theftof a laptop computer,19-001466,2019-10-08,2100,lauinger library,case pending investigation,2019,2019
2019-10-11,theft, a student reported  the theftof credit cards,19-001473,2019-10-11,1420,yates field house,case pending investigation,2019,2019
2019-10-11,theft, a staff member reported  thetheft of credit cards,19-001474,2019-10-11,1435,yates field house,case pending investigation,2019,2019
2019-10-17,stolen motor scooter, a studentreported the theft of a motorscooter,19-001515,2019-10-17,1207,ll lauinger librarybicycle rack,case pending investigation/ handled by mpd ccn: 19-185990,2019,2019
2019-10-18,theft, a student reported the theftof a bicycle,19-001521,2019-10-18,1215,new south hall,case pending investigation,2019,2019
2019-10-22,lewd indecent or obscene act,,19-001551,2019-10-22,1140,lauinger library,case pending investigation,2019,2019
2019-10-22,stalking, a gu affiliate reported thatthey were being stalked by an ex-boyfriend,19-001552,2019-10-16,NA,healy familystudent center,case pending investigation/ handled by mpd ccn: 19-188961,2019,2019
2019-10-22,sexual assault, a student reportedthat they were sexually assaulted,19-001554,NA,NA,gervase,case pending investigation/ handled by mpd ccn: 19-189290,NA,2019
2019-10-22,sexual assault, a non affilatereported that they were sexuallyassaulted,19-001555,2019-10-22,1800,darnall hall,case pending investigation/ handled by mpd ccn: 19-189382,2019,2019
2019-10-25,theft, a student reported the theftof a bicycle,19-001575,2019-10-25,1000,lauinger library,case pending investigation,2019,2019
2019-10-25,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,19-001577,2019-10-25,1126,copley hall,case closed with arrestccn: 19-191073,2019,2019
2019-10-25,dv simple assault, a non affiliatereported that they were physicallyassaulted,19-001578,2019-10-25,1126,copley hall,case closed with arrestccn: 19-191076,2019,2019
2019-10-26,theft, a student reported the theftof a wallet,19-001584,2019-10-25,2100,tombs restaurant,case pending investigation,2019,2019
2019-10-27,theft, a student reported the theftof a wallet,19-001589,2019-10-27,0200,village a,case pending investigation,2019,2019
2019-10-27,drug violation,  a student wasfound in possession marijuana,19-001590,2019-10-27,1718,alumni square,case referred to studentconduct,2019,2019
2019-10-27,unlawful entry,  a gupd officerreported that they located aunauthorized non affiliate oncampus who had been previouslybarred,19-001592,2019-10-27,2310,hariri buildig,case closed with arrestccn: 19-192734,2019,2019
2019-10-29,theft, a student reported the theftof a bicycle,19-001602,2019-10-26,1030,new south hall,case pending investigation,2019,2019
2019-10-30,theft, a student reported the theftof a bicycle,19-001613,2019-10-28,1100,lauinger library,case pending investigation,2019,2019
2019-10-30,drug violation,  a student wasfound in possession marijuana,19-001615,2019-10-30,1720,copley hall,case referred to studentconduct,2019,2019
2019-10-31,destruction of property, a rareported that an unknown subjectsmashed a window and destroyedfurniture,19-001623,2019-10-30,1400,darnall hall,case pending investigation,2019,2019
2019-10-31,theft, multiple students reportedthe theft of their backpacks,19-001626,2019-10-31,1900,hariri building,case pending investigation,2019,2019
2020-10-05,drug/smoking violation,gupd spoke with a student thatadmitted to smoking marijuana,20-000845,2020-10-05,0338,village a,"closed, referred to officeof student conduct",2020,2020
2020-10-09,theft 2,a gu student reported theft oflaundry left unattended,20-000850,NA,0900,henle village,"suspended/suspectunknown, no useful cctvfootage found",NA,2020
2020-10-14,theft 2,a gu student reported theft oflaundry left unattended,20-000861,NA,0900,village a,"suspended/suspectunknown, no useful cctvfootage found",NA,2020
2020-10-22,burglary,a gu staff member reported aburglary from their office,20-000887,2020-10-22,0915,harbin hall,"suspended/suspectunknown, no useful cctvfootage found",2020,2020
2020-10-29,theft 1,a contractor reported the theft ofa laptop,20-000902,2020-10-29,1020,basic science,"closed/unfounded, laptoplocated",2020,2020
2017-09-01,burglary, a gu staff memberreported that an unknown subjectentered their secured office andstole us currency,17-001204,2017-09-01,1550,hariri building,case pending investigation,2017,2017
2017-09-01,domestic stalking / felony threats,a student reported receivingmultiple threating text from their ex-boyfriend,17-001206,2017-08-31,1650,leavey center,case referred to studentconduct,2017,2017
2017-09-01,theft, a contractor reported thetheft of towels,17-001209,2017-08-31,2130,o'donovan hall,case pending investigation,2017,2017
2017-09-02,drug violation, a student wasfound in possession of marijuana,17-001121,2017-09-02,1238,darnall hall,case referred to studentconduct,2017,2017
2017-09-02,sexual assualt, a gu affiliiatereported being groped by a student,17-001214,2017-09-02,0109,darnall hall,case closed with arrest,2017,2017
2017-09-02,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001223,2017-09-02,2252,library walk,case referred to studentconduct,2017,2017
2017-09-03,theft, a student reported the theftof a bicycle,17-001233,2017-09-03,1800,hariri building,case pending investigation,2017,2017
2017-09-04,theft, a student reported the theftof a laptop,17-001239,2017-09-04,2117,o'donovan hall,case closed with arrest,2017,2017
2017-09-05,theft, a student reported the theftof a bicycle,17-001241,2017-08-28,1500,lxr,case pending investigation,2017,2017
2017-09-05,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized the elevatorby drawing a hate symbol,17-001243,2017-09-05,2115,village c west,case pending investigation,2017,2017
2017-09-06,drug violation, a student wasfound in possession of marijuana,17-001124,2017-09-06,1515,copley hall,case referred to studentconduct,2017,2017
2017-09-06,theft, a faculty member reportedthe theft of a bicycle,17-001247,2017-09-06,1852,leavey centergarage,case pending investigation,2017,2017
2017-09-06,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized the elevatorby drawing a hate symbol,17-001248,2017-09-06,1930,lxr,case pending investigation,2017,2017
2017-09-06,drug violation, a student wasfound in possession of marijuana,17-001125,2017-09-06,2205,alumni square,case referred to studentconduct,2017,2017
2017-09-07,theft, a student reported the theftof a bicycle,17-001260,2017-09-05,1800,alumni square,case pending investigation,2017,2017
2017-09-08,theft, a student reported the theftof a backpack,17-001266,2017-09-08,1030,cooper field,case pending investigation,2017,2017
2017-09-09,theft, a student reported the theftof a wallet,17-001271,2017-09-09,0130,leavey center,case pending investigation,2017,2017
2017-09-09,alcohol violation, a underagestudent was in possession of acontainer of beer,17-001273,2017-09-09,0044,new south hall,case referred to studentconduct,2017,2017
2017-09-10,defacing property,  a studentreported that someone vandalized aresidence hall by drawing  symbolsand writing on the wall,17-001279,2017-09-10,1550,village c west,case pending investigation,2017,2017
2017-09-10,defacing property,  a studentreported that someone vandalizedthe elevator and restroom with apermanent marker by drawingsymbols,17-001280,2017-09-10,2210,new south hall,case pending investigation,2017,2017
2017-09-11,theft, a student reported the theftof a bicycle,17-001283,2017-09-11,1515,lxr,case pending investigation,2017,2017
2017-09-12,drug violation, a student wasfound in possession of marijuana,17-001128,2017-09-12,1845,viillage a,case referred to studentconduct,2017,2017
2017-09-12,theft, a faculty member reportedthe theft of a laptop,17-001290,2017-09-12,2021,davis performingarts center,case pending investigation,2017,2017
2017-09-13,drug violation, a student wasfound in possession of marijuana,17-001129,2017-09-13,0010,arrupe hall,case referred to studentconduct,2017,2017
2017-09-14,drug violation, a student wasfound in possession of marijuana,17-001129,2017-09-14,0041,st. mary's,case referred to studentconduct,2017,2017
2017-09-14,theft, a student reported the theftof clothing,17-001304,2017-09-14,2030,village c east,unfounded another studentinadvertantly took the wrongclothing,2017,2017
2017-09-15,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001313,2017-09-15,2215,alumni square,case referred to studentconduct,2017,2017
2017-09-15,drug violation, a student wasfound in possession of marijuana,17-001314,2017-09-15,2340,henle village,case referred to studentconduct,2017,2017
2017-09-15,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001315,2017-09-15,2350,healy circle,case referred to studentconduct,2017,2017
2017-09-15,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001317,2017-09-15,2350,37th & prospectstreet northwest,case referred to studentconduct,2017,2017
2017-09-16,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001319,2017-09-16,0100,henle village,case referred to studentconduct,2017,2017
2017-09-15,drug violation, a student wasfound in possession of marijuana,17-001325,2017-09-15,2230,reynolds hall,case referred to studentconduct,2017,2017
2017-09-15,drug violation, a student wasfound in possession of marijuana,17-001335,2017-09-15,2235,reynolds hall,case referred to studentconduct,2017,2017
2017-09-15,drug violation, a student wasfound in possession of marijuana,17-001336,2017-09-15,2240,kennedy hall,case referred to studentconduct,2017,2017
2017-09-18,theft, a student reported the theftof a cellular phone,17-001358,2017-09-18,1240,lauinger library,case pending investigation,2017,2017
2017-09-18,burglary, a gu student reportedthat an unknown subject enteredtheir secured residence and stole akey,17-001359,2017-09-18,0800,henle village,case pending investigation,2017,2017
2017-09-18,burglary, a gu staff memberreported that an unknown subjectentered their unsecured office andstole a credit card,17-001360,2017-09-14,1750,new researchbuilding,case pending investigation,2017,2017
2017-09-18,sexual assault, a student repotedthat they were sexually assaulted,tix-105,2017-09-16,NA,calcagnini centeroff campusproperty,case pending investigation,2017,2017
2017-09-20,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized a restroom bydrawing a hate symbol,17-001373,2017-09-20,1745,lxr,case pending investigation,2017,2017
2017-09-20,drug violation, a student wasfound in possession of marijuana,17-001374,2017-09-20,2220,village a,case referred to studentconduct,2017,2017
2017-09-21,defacing property,  a studentreported that someone vandalized acommunity room by drawingsymbols and writing on the wall,17-001378,2017-09-21,0440,nevils,case pending investigation,2017,2017
2017-09-21,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized a restroom bydrawing a hate symbol,17-001379,2017-09-21,1045,lxr,case pending investigation,2017,2017
2017-09-22,theft, a staff member reported thetheft of a parking enforementdevice (boot).,17-001391,2017-09-22,1050,leavey center,case pending investigation,2017,2017
2017-09-22,theft, a student reported the theftof a bicycle,17-001139,2017-09-22,1845,o'donovan hall,case pending investigation,2017,2017
2017-09-22,theft, a gupd officer reported thetheft of a bicycle,17-001395,2017-09-22,2030,leavey center,case pending investigation,2017,2017
2017-09-23,alcohol violation, a underagestudent was in possession of aopen container of beer,17-001397,2017-09-23,0020,alumni square,case referred to studentconduct,2017,2017
2017-09-24,alcohol violation, a underagestudent was in possession of abottle of alcohol,17-001410,2017-09-24,0035,library walk,case referred to studentconduct,2017,2017
2017-09-24,drug violation, a student wasfound in possession of marijuana,17-001412,2017-09-24,0105,alumni square,case referred to studentconduct,2017,2017
2017-09-24,drug violation, a student wasfound in possession of marijuana,17-001413,2017-09-24,0209,copley hall,case referred to studentconduct,2017,2017
2017-09-25,theft, a  student reported the theftof a bicycle,17-001422,2017-09-25,1700,hariri building,case pending investigation,2017,2017
2017-09-25,drug violation, a student wasfound in possession of marijuana,17-001427,2017-09-25,2215,alumni square,case referred to studentconduct,2017,2017
2017-09-26,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized a trashreceptacle by drawing a hatesymbol,17-001429,2017-09-26,0746,walsh,case pending investigation,2017,2017
2017-09-26,theft, a  student reported the theftof a wallet,17-001430,2017-09-25,1800,hariri building,case pending investigation,2017,2017
2017-09-26,destruction of property,  a gupdofficer reported that someonevandalized the elevator,17-001436,2017-09-26,1914,reiss science,case pending investigation,2017,2017
2017-09-27,bias incident / destruction ofproperty,  a student reported thatsomeone vandalized a restroom bydrawing a hate symbol,17-001442,2017-09-27,1845,lxr,case pending investigation,2017,2017
2017-09-28,theft, a  student reported the theftof a bicycle,17-001446,2017-09-28,0934,arrupe hall,case pending investigation,2017,2017
2017-09-28,drug violation, a student wasfound in possession of marijuana,17-001450,2017-09-28,2210,copley hall,case referred to studentconduct,2017,2017
2017-09-29,theft, a  student reported the theftof a bicycle,17-001453,2017-09-28,0807,lxr,case pending investigation,2017,2017
2017-09-29,urinating in public, a staff memberreported that they observed anunidentified male subject urinatingin public,17-001456,2017-09-29,1355,poulton hall,case pending investigation,2017,2017
2017-09-29,bias incident,  a student reportedthat someone slipped a bias noteunder the door to their residence,17-001458,2017-09-29,2030,reynolds hall,case pending investigation,2017,2017
2017-09-29,theft, a  student reported the theftof clothing,17-001460,2017-09-29,2200,village c west,case pending investigation,2017,2017
2017-09-30,defacing property,  a studentreported that someone vandalized aresidence hall by drawing  symbolsand writing on the wall,17-001463,2017-09-29,2250,lxr,case pending investigation,2017,2017
2017-09-30,drug violation, a student wasfound in possession of marijuana,17-001464,2017-09-30,0040,henle village,case referred to studentconduct,2017,2017
2017-09-30,alcohol violation, a underagestudent was in possession of aopen container of alcohol,17-001465,2017-09-30,0150,village c west,case referred to studentconduct,2017,2017
2018-09-01,theft, a  student reported the theftof a bicycle,18-000993,2018-08-31,2338,lauinger library,case pending investigation,2018,2018
2018-09-02,theft, a  gupd officer reported thetheft of a bicycle,18-001158,2018-09-02,0642,red square,case pending investigation/ no complaianat,2018,2018
2018-09-04,drug violation, a student wasfound in possession of marijuana,18-001135,2018-09-04,1525,alumni square,case referred to studentconduct,2018,2018
2018-09-05,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole personalproperty.,18-001145,2018-09-05,1635,"3600 block of ""n""street northwest",case pending investigationhandled by mpd ccn; 18-149366,2018,2018
2018-09-06,unlawful entry, a gupd officerreported that they discovered two(2) unauthorized subjects inside thebuilding after normal businesshours.,18-001147,2018-09-06,0245,healy hall,"case closed with arrestccn; 18-149653, casereferred to studentconduct",2018,2018
2018-09-06,stalking / harassment,  a studentreported that they had receivedseveral unwanted text messagesfrom an associate,18-001150,2018-09-05,2100,darnall hall,complainant declinedcriminal prosecution /subject issued barringnotice,2018,2018
2018-09-07,stalking / harassment,  a studentreported that they had receivedseveral unwanted text messagesfrom an associate,18-001160,2018-09-07,1300,leavey center,complainant declinedcriminal prosecution /subject issued barringnotice,2018,2018
2018-09-07,drug violation, a student wasfound in possession of marijuana,18-001167,2018-09-07,2315,"village ""a""",case referred to studentconduct,2018,2018
2018-09-09,robbery pick pocket, a studentrepoted that someone stole theircellular phone from their purse,18-001176,2018-09-09,0010,sellinger lounge,case pending investigation,2018,2018
2018-09-10,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole personalproperty.,18-001187,2018-09-10,2200,3600 block ofprospect streetnorthwest,case pending investigationhandled by mpd ccn; 18-152610,2018,2018
2018-09-11,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their secured residenceand stole personal property.,18-001189,2018-09-11,0900,"village ""a""",case pending investigationhandled by mpd ccn; 18-152790,2018,2018
2018-09-12,sexual assault, a  student reportedthat they were sexually assaultedon campus,18-001199,NA,NA,"village ""a""",case referred to studentconduct,NA,2018
2018-09-12,sexual assault, a  student reportedthat they were sexually assaultedon campus,18-001199,NA,NA,darnall hall,case referred to studentconduct,NA,2018
2018-09-12,threats, a  student reported thatthey were threatened,18-001202,2018-09-12,1230,darnall hall,case referred to studentconduct,2018,2018
2018-09-13,drug violation, a student wasfound in possession of marijuana,18-001204,2018-09-13,2231,new south hall,case referred to studentconduct,2018,2018
2018-09-14,theft, a  student reported the theftof a bicycle,18-001206,2018-09-14,1000,lauinger library,case pending investigation,2018,2018
2018-09-14,burglary," a  staff member reportedthat an unknown suspect gainedaccess to their unsecured office ndattempted to steal personalproperty, the subject then grabbedand pushed the complainant.",18-001207,2018-09-14,1410,icc,case pending investigationhandled by mpd ccn; 18-154974,2018,2018
2018-09-14,drug violation, a non affiliate wasfound in possession of marijuana,18-001244,2018-09-14,1500,leavey centerbookstore,case closed with arrestccn 18-155076,2018,2018
2018-09-16,burglary, a  student reported thatan unknown suspect(s) gainedaccess to their unsecuredresidence and stole personalproperty.,18-001225,2018-09-16,0900,"3600 block of ""o""street northwest",case pending investigationhandled by mpd ccn; 18-156372,2018,2018
2018-09-17,burglary, a  staff member reportedthat an unknown suspect(s) gainedaccess to their unsecured officeand stole personal property.,18-001233,2018-09-17,1730,saint mary's,case pending investigationhandled by mpd ccn; 18-157024,2018,2018
2018-09-17,sexual assault, a student repotedthat they were sexually assaulted(fondling),tix-352,2018-09-13,NA,thompson athleticcenter,case pending investigation,2018,2018
2018-09-20,drug violation, a student wasfound in possession of marijuana,18-001251,2018-09-20,2231,new south hall,case referred to studentconduct,2018,2018
2018-09-21,threats, a  gu affiliate reportedthat they were threatened,18-001256,2018-09-21,1000,leavey centerbookstore,case closed with arrestccn; 18-159580,2018,2018
2018-09-21,theft, a  student reported the theftof personal property,18-001259,2018-09-21,0900,hariri building,unfounded complainantlocated property,2018,2018
2018-09-22,destruction of property / assault," astudent reported that a unknownsubject vandalized universityproperty, and that another subjectthat was with this person thenassaulted them",18-001266,2018-09-22,0140,1400 block 37thstreet northwest,case pending investigation,2018,2018
2018-09-22,alcohol violation, a underagestudent was found in possession ofalcohol,18-001273,2018-09-22,1500,mccarthy hall,case referred to studentconduct,2018,2018
2018-09-22,drug violation, a student wasfound in possession of marijuana,18-001278,2018-09-22,2233,lxr,case referred to studentconduct,2018,2018
2018-09-28,sexual assault, a student repotedthat they were sexually assaulted,tix-361,2018-03-13,NA,village c east,case pending investigation,2018,2018
2018-09-29,theft, a  staff member reported thetheft of personal property,18-001313,2018-09-28,2000,1300 block 36thstreet northwest(tombs),case pending investigationhandled by mpd ccn; 18-164824,2018,2018
2019-09-01,theft, a student reported the theftof a bicycle,19-001114,2019-09-01,1900,mcshain loungebicycle rack,case pending investigation,2019,2019
2019-09-02,burglary, a student reported that anunknown suspect gained access totheir secured residence and stolepersonal property,19-001122,2019-08-18,1800,village a,case pending investigation,2019,2019
2019-09-03,burglary, a staff member reportedthat an unknown suspect gainedaccess to their secured office andstole electronic equipment,19-001127,2019-08-20,0900,lauinger library,case pending investigationhandled by mpd ccn:19-156294,2019,2019
2019-09-03,theft, a student reported the theftof a sofa,19-001132,2019-09-02,1900,alumni square,case pending investigation,2019,2019
2019-09-03,drug violation,  a student wasfound in possession of marijuana,19-001133,2019-09-03,2049,lxr,case referred to studentconduct,2019,2019
2019-09-04,theft, a student reported the theftof a cellular phone,19-001136,2019-09-04,1000,yates field house,case pending investigation,2019,2019
2019-09-04,drug violation,  a student wasfound in possession of marijuana,19-001137,2019-09-04,1112,village a,case referred to studentconduct,2019,2019
